14/07/01-09:54:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.752/111.714/116.897/2.658 ms
14/07/01-09:56:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.479/110.275/115.779/2.786 ms
14/07/01-09:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.721/109.527/110.617/0.749 ms
14/07/01-09:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.440/111.522/116.970/2.761 ms
14/07/01-10:01:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.747/113.050/117.828/3.755 ms
14/07/01-10:02:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.720/109.310/109.809/0.524 ms
14/07/01-10:04:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.152/109.643/110.466/0.475 ms
14/07/01-10:06:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.752/111.333/117.046/2.888 ms
14/07/01-10:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.892/110.688/115.967/2.678 ms
14/07/01-10:09:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.815/109.314/109.694/0.545 ms
14/07/01-10:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.599/109.139/109.683/0.393 ms
14/07/01-10:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.491/113.330/116.434/3.489 ms
14/07/01-10:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 109.464/110.909/116.033/2.572 ms
14/07/01-10:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.923/111.994/116.714/3.543 ms
14/07/01-10:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.086/112.124/116.813/3.460 ms
14/07/01-10:19:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.489/109.892/110.247/0.302 ms
14/07/01-10:21:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.571/111.405/117.122/2.887 ms
14/07/01-10:22:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.625/111.775/116.996/2.653 ms
14/07/01-10:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.799/111.580/116.892/2.722 ms
14/07/01-10:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.543/110.241/110.806/0.492 ms
14/07/01-10:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.248/111.715/116.950/2.652 ms
14/07/01-10:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 109.669/111.905/117.549/2.858 ms
14/07/01-10:31:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.730/110.741/116.526/2.965 ms
14/07/01-10:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.909/111.005/116.798/2.932 ms
14/07/01-10:34:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.409/112.218/116.582/3.254 ms
14/07/01-10:36:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.865/110.843/116.226/2.744 ms
14/07/01-10:37:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.728/110.312/111.081/0.496 ms
14/07/01-10:39:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 109.807/111.524/116.757/2.656 ms
14/07/01-10:40:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 110.391/113.083/117.061/3.153 ms
14/07/01-10:42:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.671/113.565/116.110/3.056 ms
14/07/01-10:44:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.489/112.303/116.757/3.443 ms
14/07/01-10:45:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.346/111.034/116.056/2.566 ms
14/07/01-10:47:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.559/109.315/109.873/0.636 ms
14/07/01-10:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.559/113.326/116.268/3.559 ms
14/07/01-10:50:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 108.756/110.714/116.516/2.924 ms
14/07/01-10:52:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.948/112.088/116.198/3.345 ms
14/07/01-10:54:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.533/109.291/109.773/0.563 ms
14/07/01-10:55:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 110.154/111.885/117.047/2.604 ms
14/07/01-10:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 110.187/111.932/117.338/2.735 ms
14/07/01-10:59:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.670/115.605/117.821/3.018 ms
14/07/01-11:00:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.606/111.624/116.686/2.574 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.512/110.211/111.064/0.679 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.115/114.207/116.931/3.219 ms
14/07/01-11:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.959/111.971/116.023/3.173 ms
14/07/01-11:07:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.435/111.223/116.985/2.911 ms
14/07/01-11:09:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 110.210/113.035/116.910/3.186 ms
14/07/01-11:10:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.883/112.018/116.098/3.310 ms
14/07/01-11:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.874/111.931/115.972/3.235 ms
14/07/01-11:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.801/111.484/116.069/2.330 ms
14/07/01-11:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.939/111.921/116.202/3.362 ms
14/07/01-11:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 109.570/112.698/116.991/3.383 ms
14/07/01-11:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.890/111.570/116.886/2.698 ms
14/07/01-11:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 109.861/110.134/110.490/0.480 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.601/111.419/117.155/2.936 ms
14/07/01-11:24:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 109.452/109.580/109.763/0.431 ms
14/07/01-11:25:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.318/111.848/117.033/2.614 ms
14/07/01-11:27:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.887/111.882/115.974/3.320 ms
14/07/01-11:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.799/111.497/116.658/2.607 ms
14/07/01-11:30:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.774/110.268/110.562/0.459 ms
14/07/01-11:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 108.839/109.143/109.506/0.274 ms
14/07/01-11:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.541/113.645/116.462/3.236 ms
14/07/01-11:35:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 109.500/112.690/117.467/3.580 ms
14/07/01-11:37:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 109.721/113.020/117.471/3.476 ms
