14/07/01-09:52:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.878/140.352/142.522/1.704 ms
14/07/01-09:53:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.821/140.573/142.912/1.879 ms
14/07/01-09:55:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.696/138.384/142.430/2.554 ms
14/07/01-09:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.764/141.481/142.482/1.413 ms
14/07/01-09:58:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.926/140.585/142.855/1.819 ms
14/07/01-10:00:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.837/139.804/142.618/2.606 ms
14/07/01-10:02:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.722/141.718/142.706/1.579 ms
14/07/01-10:03:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.913/138.311/139.170/1.277 ms
14/07/01-10:05:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.670/140.246/142.813/1.838 ms
14/07/01-10:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.871/139.767/142.388/2.433 ms
14/07/01-10:08:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.854/141.234/143.264/1.845 ms
14/07/01-10:10:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 139.048/141.560/142.381/1.262 ms
14/07/01-10:12:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.861/139.749/142.646/2.439 ms
14/07/01-10:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 138.906/140.865/142.200/1.444 ms
14/07/01-10:15:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.700/139.023/143.130/2.371 ms
14/07/01-10:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.687/139.031/142.513/3.018 ms
14/07/01-10:18:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.802/140.195/142.587/1.657 ms
14/07/01-10:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.653/140.291/142.331/1.714 ms
14/07/01-10:22:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 139.147/141.043/142.357/1.576 ms
14/07/01-10:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.964/140.437/142.902/1.801 ms
14/07/01-10:25:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 136.111/139.144/142.651/2.104 ms
14/07/01-10:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 139.303/140.687/142.460/1.435 ms
14/07/01-10:28:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.573/140.068/142.060/2.533 ms
14/07/01-10:30:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.619/140.108/142.228/1.745 ms
14/07/01-10:31:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.785/140.419/142.632/1.630 ms
14/07/01-10:33:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.670/140.163/142.170/1.640 ms
14/07/01-10:35:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.694/138.897/142.515/2.167 ms
14/07/01-10:36:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.542/140.701/144.227/3.115 ms
14/07/01-10:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.514/138.321/142.178/2.506 ms
14/07/01-10:40:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.068/141.049/142.395/1.574 ms
14/07/01-10:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 139.181/141.607/144.297/1.988 ms
14/07/01-10:43:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 135.904/137.637/138.888/1.449 ms
14/07/01-10:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 135.602/140.230/142.245/2.630 ms
14/07/01-10:46:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.728/140.488/143.095/1.960 ms
14/07/01-10:48:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.724/140.531/142.754/1.717 ms
14/07/01-10:50:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.732/137.830/139.378/1.682 ms
14/07/01-10:51:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.611/140.329/142.613/1.711 ms
14/07/01-10:53:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 139.127/140.456/142.360/1.605 ms
14/07/01-10:55:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.997/139.843/142.447/2.387 ms
14/07/01-10:56:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.699/140.966/142.690/1.745 ms
14/07/01-10:58:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 139.126/141.019/142.434/1.484 ms
14/07/01-11:00:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 139.243/141.283/142.876/1.645 ms
14/07/01-11:01:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.851/139.527/142.318/2.403 ms
14/07/01-11:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.952/140.384/142.189/1.497 ms
14/07/01-11:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.972/139.168/142.877/2.251 ms
14/07/01-11:06:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.760/140.960/142.420/1.708 ms
14/07/01-11:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.838/140.710/144.699/2.391 ms
14/07/01-11:10:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 135.648/139.634/142.642/2.498 ms
14/07/01-11:11:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 135.547/139.354/144.124/2.780 ms
14/07/01-11:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.499/138.887/142.530/2.999 ms
14/07/01-11:15:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.504/140.979/145.044/2.460 ms
14/07/01-11:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 135.553/139.658/142.518/3.275 ms
14/07/01-11:18:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.770/140.965/142.407/1.644 ms
14/07/01-11:20:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.825/137.645/139.202/1.526 ms
14/07/01-11:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.809/140.392/142.543/2.709 ms
14/07/01-11:23:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.528/138.340/142.185/2.521 ms
14/07/01-11:25:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.137/140.645/142.845/1.678 ms
14/07/01-11:26:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.787/140.587/143.575/1.972 ms
14/07/01-11:28:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 135.588/139.661/142.630/3.309 ms
14/07/01-11:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.720/139.529/142.427/2.308 ms
14/07/01-11:31:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.723/140.429/142.746/1.837 ms
14/07/01-11:33:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 138.814/141.683/142.630/1.481 ms
14/07/01-11:35:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.796/139.684/142.710/2.475 ms
14/07/01-11:36:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 138.745/141.252/142.694/1.769 ms
14/07/01-11:38:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.778/141.092/142.730/2.684 ms
14/07/01-11:40:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 135.584/140.326/142.546/2.721 ms
14/07/01-11:41:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.720/139.824/142.715/1.466 ms
14/07/01-11:43:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.843/140.314/142.353/1.488 ms
