14/07/01-09:52:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 313.466/329.696/351.569/17.403 ms
14/07/01-09:54:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 312.958/336.008/351.153/17.611 ms
14/07/01-09:55:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 349.858/350.849/351.624/0.847 ms
14/07/01-09:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 315.973/331.761/336.697/7.987 ms
14/07/01-09:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 313.065/331.453/336.579/9.212 ms
14/07/01-10:00:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.463/320.338/337.303/8.555 ms
14/07/01-10:02:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.792/331.033/336.192/7.178 ms
14/07/01-10:04:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.601/322.586/335.603/10.129 ms
14/07/01-10:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 312.482/319.921/339.772/10.065 ms
14/07/01-10:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.369/327.622/339.893/11.281 ms
14/07/01-10:09:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.532/328.398/336.740/9.694 ms
14/07/01-10:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.952/326.791/335.557/9.367 ms
14/07/01-10:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.682/319.120/334.203/7.623 ms
14/07/01-10:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.409/320.098/336.329/8.238 ms
14/07/01-10:15:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.585/323.791/337.009/10.018 ms
14/07/01-10:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.170/327.536/335.456/9.801 ms
14/07/01-10:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.544/315.293/318.090/2.205 ms
14/07/01-10:20:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.042/328.398/335.437/8.679 ms
14/07/01-10:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 315.536/327.784/335.665/9.537 ms
14/07/01-10:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.325/325.039/335.623/9.045 ms
14/07/01-10:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.416/331.143/336.010/8.403 ms
14/07/01-10:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 313.099/318.201/333.466/7.748 ms
14/07/01-10:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 313.624/319.162/335.392/8.176 ms
14/07/01-10:30:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 313.652/323.794/335.905/9.844 ms
14/07/01-10:32:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 312.721/326.746/336.101/11.142 ms
14/07/01-10:33:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 335.271/335.875/336.418/0.704 ms
14/07/01-10:35:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 314.241/321.211/335.425/7.736 ms
14/07/01-10:37:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.595/327.509/336.408/10.397 ms
14/07/01-10:38:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 313.440/330.491/335.565/8.576 ms
14/07/01-10:40:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 319.976/333.241/339.720/6.860 ms
14/07/01-10:42:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.592/331.870/336.840/7.775 ms
14/07/01-10:43:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 317.585/332.724/338.208/7.679 ms
14/07/01-10:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.544/323.502/335.323/9.729 ms
14/07/01-10:47:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.159/323.265/335.724/10.138 ms
14/07/01-10:48:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 315.053/327.404/335.545/9.656 ms
14/07/01-10:50:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 313.593/324.132/335.905/9.593 ms
14/07/01-10:52:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.269/320.103/335.345/7.805 ms
14/07/01-10:53:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 314.568/320.815/340.240/9.778 ms
14/07/01-10:55:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 315.143/325.835/340.699/11.595 ms
14/07/01-10:57:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.086/331.133/341.522/11.432 ms
14/07/01-10:58:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.151/329.856/340.734/12.069 ms
14/07/01-11:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 313.155/329.750/340.563/12.473 ms
14/07/01-11:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.752/319.875/340.354/10.352 ms
14/07/01-11:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 312.949/330.146/341.205/12.927 ms
14/07/01-11:05:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 312.626/325.913/341.348/12.692 ms
14/07/01-11:07:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 313.512/325.226/341.711/13.060 ms
14/07/01-11:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 320.483/330.033/340.438/7.895 ms
14/07/01-11:10:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.597/329.415/341.195/10.163 ms
14/07/01-11:12:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.247/331.019/339.363/10.227 ms
14/07/01-11:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 315.364/321.756/341.680/10.002 ms
14/07/01-11:15:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.756/330.119/341.852/12.712 ms
14/07/01-11:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 313.507/331.554/342.534/12.091 ms
14/07/01-11:18:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 317.264/333.293/341.412/9.814 ms
14/07/01-11:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.695/320.252/340.356/10.065 ms
14/07/01-11:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 339.200/340.283/340.794/0.673 ms
14/07/01-11:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.856/315.613/317.098/1.615 ms
