14/07/01-09:51:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.324/295.368/296.642/1.038 ms
14/07/01-09:53:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.356/295.254/296.640/1.108 ms
14/07/01-09:55:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 294.220/295.474/297.086/1.285 ms
14/07/01-09:56:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 282.111/292.725/296.542/5.447 ms
14/07/01-09:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 294.290/295.501/296.642/0.928 ms
14/07/01-10:00:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 294.082/295.587/298.701/1.975 ms
14/07/01-10:01:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.737/291.752/294.562/5.058 ms
14/07/01-10:03:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.150/295.915/296.822/1.064 ms
14/07/01-10:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.140/294.945/297.328/1.299 ms
14/07/01-10:06:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.887/291.009/298.619/6.788 ms
14/07/01-10:08:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.001/295.300/296.558/1.249 ms
14/07/01-10:10:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 294.087/295.700/297.161/1.400 ms
14/07/01-10:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.845/292.795/296.864/5.599 ms
14/07/01-10:13:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.795/292.062/294.998/5.138 ms
14/07/01-10:15:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.169/294.612/295.183/0.780 ms
14/07/01-10:16:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 282.345/292.819/296.583/5.345 ms
14/07/01-10:18:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 282.211/292.559/297.155/5.328 ms
14/07/01-10:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.141/294.947/297.204/1.301 ms
14/07/01-10:21:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 284.153/293.204/296.797/4.644 ms
14/07/01-10:23:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.811/294.415/294.855/0.352 ms
14/07/01-10:25:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.282/296.083/298.758/1.768 ms
14/07/01-10:26:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.920/294.705/296.070/0.765 ms
14/07/01-10:28:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.194/296.105/298.844/1.748 ms
14/07/01-10:30:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.273/295.478/298.623/1.713 ms
14/07/01-10:31:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.760/290.193/296.493/6.918 ms
14/07/01-10:33:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 294.400/295.943/298.765/1.858 ms
14/07/01-10:35:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.855/295.198/296.520/1.172 ms
14/07/01-10:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 283.871/293.297/296.646/4.828 ms
14/07/01-10:38:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.839/295.480/296.832/1.164 ms
14/07/01-10:40:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.773/287.460/296.423/6.889 ms
14/07/01-10:41:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 284.073/292.887/296.905/4.511 ms
14/07/01-10:43:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.342/295.539/297.350/1.279 ms
14/07/01-10:44:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.088/294.925/296.904/1.128 ms
14/07/01-10:46:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 294.129/294.838/296.414/0.896 ms
14/07/01-10:48:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.229/289.647/294.305/5.381 ms
14/07/01-10:49:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 282.008/293.219/296.506/5.638 ms
14/07/01-10:51:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.792/292.707/296.838/5.589 ms
14/07/01-10:53:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.041/292.888/296.596/5.494 ms
14/07/01-10:54:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.354/295.323/296.521/1.162 ms
14/07/01-10:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.802/294.461/296.170/0.997 ms
14/07/01-10:58:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.074/292.532/296.717/5.316 ms
14/07/01-10:59:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 294.024/295.460/296.568/1.127 ms
14/07/01-11:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.058/292.902/297.141/5.556 ms
14/07/01-11:03:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.872/293.224/296.894/5.799 ms
14/07/01-11:04:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 284.118/293.530/298.997/4.978 ms
14/07/01-11:06:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 294.143/295.134/296.703/0.906 ms
14/07/01-11:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.518/295.634/297.202/1.334 ms
14/07/01-11:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.962/294.219/294.387/0.705 ms
14/07/01-11:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.671/293.794/299.021/6.201 ms
14/07/01-11:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.938/292.768/298.975/5.720 ms
14/07/01-11:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.732/290.973/298.731/6.791 ms
14/07/01-11:16:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.501/295.937/296.779/1.176 ms
14/07/01-11:18:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.099/292.671/296.754/5.358 ms
14/07/01-11:19:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 294.258/294.683/295.176/0.698 ms
14/07/01-11:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.843/292.624/296.596/5.501 ms
14/07/01-11:23:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 281.863/293.221/296.899/5.776 ms
14/07/01-11:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.419/295.898/296.949/0.939 ms
14/07/01-11:26:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.913/291.801/294.447/4.968 ms
14/07/01-11:28:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.275/295.289/296.715/1.082 ms
14/07/01-11:29:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.970/290.877/297.824/6.556 ms
14/07/01-11:31:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 284.107/292.559/294.931/4.245 ms
