14/07/01-09:52:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 141.719/141.772/141.837/0.478 ms
14/07/01-09:54:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.479/141.633/141.954/0.173 ms
14/07/01-09:56:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.548/141.668/141.916/0.365 ms
14/07/01-09:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.597/141.737/141.975/0.436 ms
14/07/01-09:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.628/141.773/141.921/0.424 ms
14/07/01-10:01:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.426/141.574/141.693/0.421 ms
14/07/01-10:02:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.445/141.549/141.694/0.484 ms
14/07/01-10:04:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 141.423/141.609/141.748/0.359 ms
14/07/01-10:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.533/141.747/142.074/0.298 ms
14/07/01-10:07:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.424/141.542/141.694/0.356 ms
14/07/01-10:09:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.373/141.591/141.953/0.456 ms
14/07/01-10:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.589/141.756/142.174/0.463 ms
14/07/01-10:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 141.431/141.719/142.133/0.538 ms
14/07/01-10:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.462/141.561/141.649/0.343 ms
14/07/01-10:16:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.494/141.854/142.231/0.256 ms
14/07/01-10:17:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.432/141.556/141.763/0.110 ms
14/07/01-10:19:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.492/141.680/141.903/0.363 ms
14/07/01-10:20:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.463/141.691/141.844/0.493 ms
14/07/01-10:22:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.488/141.670/141.787/0.488 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.362/141.554/141.782/0.495 ms
14/07/01-10:25:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.515/141.590/141.647/0.478 ms
14/07/01-10:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 141.414/141.599/141.746/0.427 ms
14/07/01-10:29:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.467/141.556/141.649/0.342 ms
14/07/01-10:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.512/141.597/141.657/0.243 ms
14/07/01-10:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.528/141.750/141.927/0.366 ms
14/07/01-10:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 141.575/141.689/141.809/0.485 ms
14/07/01-10:35:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.542/141.706/141.888/0.362 ms
14/07/01-10:37:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.550/141.627/141.789/0.254 ms
14/07/01-10:39:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.285/141.626/141.939/0.343 ms
14/07/01-10:40:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.435/141.548/141.725/0.426 ms
14/07/01-10:42:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.552/141.736/141.885/0.265 ms
14/07/01-10:44:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.420/141.638/141.878/0.162 ms
14/07/01-10:45:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.544/141.624/141.712/0.342 ms
14/07/01-10:47:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 141.460/141.617/141.943/0.375 ms
14/07/01-10:49:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.581/141.705/141.849/0.347 ms
14/07/01-10:50:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.492/141.664/141.809/0.490 ms
14/07/01-10:52:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.610/141.698/141.807/0.345 ms
14/07/01-10:54:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.566/141.693/141.836/0.421 ms
14/07/01-10:55:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.434/141.584/141.735/0.351 ms
14/07/01-10:57:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.328/141.536/141.690/0.434 ms
14/07/01-10:59:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.479/141.689/141.931/0.374 ms
14/07/01-11:00:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.466/141.638/141.781/0.424 ms
14/07/01-11:02:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.515/141.572/141.607/0.477 ms
14/07/01-11:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.410/141.588/141.717/0.120 ms
14/07/01-11:05:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.581/141.704/141.876/0.107 ms
14/07/01-11:07:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.635/141.855/141.975/0.268 ms
14/07/01-11:09:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.515/141.775/141.943/0.279 ms
14/07/01-11:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.598/141.671/141.839/0.086 ms
14/07/01-11:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.531/141.637/141.736/0.482 ms
14/07/01-11:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.381/141.611/141.910/0.193 ms
14/07/01-11:15:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.553/141.767/141.981/0.155 ms
14/07/01-11:17:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.504/141.702/141.879/0.367 ms
14/07/01-11:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 141.552/141.704/141.853/0.492 ms
14/07/01-11:20:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.619/141.867/142.421/0.504 ms
14/07/01-11:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.505/141.564/141.647/0.243 ms
14/07/01-11:24:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.446/141.571/141.719/0.424 ms
14/07/01-11:25:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.431/141.694/141.864/0.161 ms
14/07/01-11:27:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.481/141.663/141.790/0.359 ms
14/07/01-11:29:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.560/141.721/141.890/0.353 ms
14/07/01-11:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.500/141.632/141.952/0.443 ms
14/07/01-11:32:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.418/141.633/141.818/0.273 ms
14/07/01-11:33:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.492/141.624/141.722/0.250 ms
14/07/01-11:35:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.306/141.566/141.858/0.381 ms
14/07/01-11:37:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.478/141.719/142.037/0.194 ms
14/07/01-11:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 141.418/141.515/141.654/0.349 ms
14/07/01-11:40:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.435/141.670/141.833/0.497 ms
14/07/01-11:42:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.411/141.591/141.776/0.146 ms
14/07/01-11:43:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.409/141.661/141.819/0.160 ms
14/07/01-11:45:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.427/141.657/141.816/0.369 ms
14/07/01-11:47:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 141.641/141.646/141.652/0.412 ms
14/07/01-11:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 141.454/141.717/141.827/0.497 ms
