14/07/01-09:51:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 298.073/298.555/298.992/0.766 ms
14/07/01-09:53:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 298.135/298.436/298.902/0.267 ms
14/07/01-09:55:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 298.043/298.574/299.205/0.620 ms
14/07/01-09:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 298.096/298.711/299.898/0.799 ms
14/07/01-09:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 297.942/298.259/298.623/0.726 ms
14/07/01-10:00:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 298.157/298.431/298.732/0.642 ms
14/07/01-10:01:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 298.123/298.613/299.172/0.656 ms
14/07/01-10:03:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 298.061/298.655/299.310/0.500 ms
14/07/01-10:05:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 298.027/299.076/300.419/0.980 ms
14/07/01-10:06:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 298.157/298.417/298.839/0.659 ms
14/07/01-10:08:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 298.104/300.208/303.440/2.039 ms
14/07/01-10:10:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 297.848/298.521/298.989/0.429 ms
14/07/01-10:11:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 297.826/298.536/299.082/0.581 ms
14/07/01-10:13:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 298.642/299.150/300.432/0.737 ms
14/07/01-10:14:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 322.264/328.420/339.922/6.147 ms
14/07/01-10:16:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 297.903/298.841/300.427/0.999 ms
14/07/01-10:18:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 298.368/299.266/300.723/1.164 ms
14/07/01-10:19:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 298.161/299.136/300.197/0.977 ms
14/07/01-10:21:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 298.707/298.857/299.002/0.501 ms
14/07/01-10:23:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 298.424/299.665/303.533/1.982 ms
14/07/01-10:24:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 297.941/298.359/299.061/0.706 ms
