14/07/01-09:52:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.799/151.862/151.947/0.051 ms
14/07/01-09:54:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.780/151.900/151.964/0.432 ms
14/07/01-09:56:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.653/151.881/152.053/0.373 ms
14/07/01-09:57:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 151.779/151.908/152.173/0.283 ms
14/07/01-09:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.847/152.049/152.269/0.157 ms
14/07/01-10:01:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.787/151.984/152.474/0.430 ms
14/07/01-10:02:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.799/151.901/151.979/0.255 ms
14/07/01-10:04:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.772/151.864/151.927/0.430 ms
14/07/01-10:05:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.851/151.921/151.994/0.431 ms
14/07/01-10:07:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.946/152.055/152.178/0.263 ms
14/07/01-10:09:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.780/151.889/152.076/0.103 ms
14/07/01-10:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.809/151.966/152.159/0.272 ms
14/07/01-10:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.784/151.961/152.223/0.382 ms
14/07/01-10:14:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.865/151.970/152.096/0.357 ms
14/07/01-10:15:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.800/151.985/152.092/0.363 ms
14/07/01-10:17:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.814/152.002/152.155/0.443 ms
14/07/01-10:19:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.769/151.996/152.183/0.133 ms
14/07/01-10:20:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.902/152.003/152.089/0.497 ms
14/07/01-10:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.807/151.972/152.280/0.198 ms
14/07/01-10:24:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.967/152.093/152.197/0.360 ms
14/07/01-10:25:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.747/151.878/152.070/0.271 ms
14/07/01-10:27:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.762/151.953/152.126/0.143 ms
14/07/01-10:29:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.926/152.047/152.182/0.111 ms
14/07/01-10:30:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.857/151.957/152.071/0.433 ms
14/07/01-10:32:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.767/151.931/152.139/0.370 ms
14/07/01-10:34:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.835/151.984/152.166/0.505 ms
14/07/01-10:35:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.813/151.913/152.038/0.260 ms
14/07/01-10:37:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.780/151.927/152.039/0.263 ms
14/07/01-10:39:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.764/151.918/152.020/0.363 ms
14/07/01-10:40:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.756/151.923/152.121/0.519 ms
14/07/01-10:42:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.814/151.912/152.136/0.368 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.831/151.915/151.991/0.253 ms
14/07/01-10:45:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.748/151.949/152.101/0.275 ms
14/07/01-10:47:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.824/151.893/152.023/0.068 ms
14/07/01-10:49:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.746/151.996/152.267/0.525 ms
14/07/01-10:50:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.812/151.963/152.123/0.502 ms
14/07/01-10:52:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.941/152.054/152.283/0.443 ms
14/07/01-10:54:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.763/151.958/152.136/0.121 ms
14/07/01-10:55:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.832/152.035/152.225/0.276 ms
14/07/01-10:57:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.712/151.951/152.269/0.415 ms
14/07/01-10:59:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 151.793/151.972/152.221/0.514 ms
14/07/01-11:00:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.812/151.967/152.130/0.106 ms
14/07/01-11:02:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.802/151.997/152.148/0.374 ms
14/07/01-11:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 151.764/151.935/152.093/0.439 ms
14/07/01-11:05:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.872/151.968/152.136/0.090 ms
14/07/01-11:07:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.871/152.059/152.145/0.438 ms
14/07/01-11:09:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.740/151.992/152.327/0.531 ms
14/07/01-11:10:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.747/151.876/152.007/0.268 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 151.808/151.872/151.934/0.495 ms
14/07/01-11:13:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.869/151.981/152.084/0.258 ms
14/07/01-11:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.834/152.010/152.213/0.376 ms
14/07/01-11:17:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.774/151.992/152.153/0.373 ms
14/07/01-11:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.872/151.950/152.086/0.434 ms
14/07/01-11:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.813/151.937/152.135/0.111 ms
14/07/01-11:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 151.690/151.893/151.999/0.269 ms
14/07/01-11:23:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 151.994/152.035/152.088/0.249 ms
14/07/01-11:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.947/152.047/152.150/0.497 ms
14/07/01-11:27:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.774/151.890/152.021/0.503 ms
14/07/01-11:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 151.874/152.021/152.188/0.364 ms
14/07/01-11:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.891/152.020/152.355/0.522 ms
14/07/01-11:32:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 151.768/151.865/151.924/0.430 ms
14/07/01-11:33:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.899/152.062/152.219/0.439 ms
14/07/01-11:35:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.902/151.990/152.067/0.064 ms
14/07/01-11:37:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.926/151.963/152.006/0.248 ms
14/07/01-11:38:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.789/151.898/151.976/0.432 ms
14/07/01-11:40:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.892/151.960/152.066/0.432 ms
14/07/01-11:42:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.796/151.896/151.983/0.258 ms
14/07/01-11:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.853/151.959/152.077/0.437 ms
14/07/01-11:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.788/151.939/152.110/0.442 ms
14/07/01-11:47:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.760/151.949/152.112/0.119 ms
14/07/01-11:48:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.806/152.024/152.272/0.453 ms
14/07/01-11:50:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 151.741/151.837/152.008/0.265 ms
14/07/01-11:52:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.833/152.045/152.220/0.512 ms
14/07/01-11:53:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.735/151.965/152.178/0.517 ms
14/07/01-11:55:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.763/152.029/152.167/0.513 ms
14/07/01-11:57:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.852/151.913/151.973/0.429 ms
