14/07/01-09:52:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 191.624/191.822/191.948/0.567 ms
14/07/01-09:54:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 191.535/191.695/191.934/0.572 ms
14/07/01-09:55:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.617/191.668/191.741/0.555 ms
14/07/01-09:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.601/191.739/191.898/0.562 ms
14/07/01-09:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 191.690/191.774/191.872/0.483 ms
14/07/01-10:00:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 191.698/191.858/191.990/0.108 ms
14/07/01-10:02:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.579/191.727/191.846/0.492 ms
14/07/01-10:04:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.607/191.744/191.843/0.559 ms
14/07/01-10:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 191.587/191.768/191.993/0.137 ms
14/07/01-10:07:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 191.544/191.712/191.904/0.154 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.660/192.077/192.944/0.539 ms
14/07/01-10:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.501/192.084/192.874/0.741 ms
14/07/01-10:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.552/191.727/191.843/0.562 ms
14/07/01-10:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 191.577/191.686/191.865/0.098 ms
