14/07/01-09:52:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.372/80.408/80.485/0.361 ms
14/07/01-09:53:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.055/80.227/80.382/0.215 ms
14/07/01-09:55:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.273/81.368/81.548/0.103 ms
14/07/01-09:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 80.243/80.405/80.555/0.375 ms
14/07/01-09:58:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.084/81.246/81.581/0.359 ms
14/07/01-10:00:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.070/81.195/81.328/0.092 ms
14/07/01-10:02:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.091/81.262/81.499/0.294 ms
14/07/01-10:03:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 80.193/80.293/80.412/0.325 ms
14/07/01-10:05:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.169/80.366/80.560/0.345 ms
14/07/01-10:07:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 80.116/80.378/80.656/0.309 ms
14/07/01-10:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.051/80.215/80.336/0.332 ms
14/07/01-10:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 81.239/81.378/81.480/0.083 ms
14/07/01-10:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.048/81.261/81.380/0.331 ms
14/07/01-10:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.153/80.274/80.407/0.270 ms
14/07/01-10:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.072/80.299/80.475/0.226 ms
14/07/01-10:16:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.066/81.317/81.479/0.396 ms
14/07/01-10:18:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.116/81.199/81.279/0.054 ms
