14/07/01-09:53:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 108.573/110.539/116.285/2.908 ms
14/07/01-09:55:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.649/111.367/117.029/2.844 ms
14/07/01-09:56:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 109.092/113.471/116.773/3.421 ms
14/07/01-09:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 109.194/112.130/116.242/3.336 ms
14/07/01-10:00:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.337/111.354/116.910/2.833 ms
14/07/01-10:01:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.580/111.467/116.798/2.717 ms
14/07/01-10:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 108.517/110.383/115.793/2.753 ms
14/07/01-10:05:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 109.703/111.686/116.989/2.696 ms
14/07/01-10:06:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 108.740/110.723/116.810/3.085 ms
14/07/01-10:08:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.872/113.553/116.860/3.563 ms
14/07/01-10:10:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 108.771/109.043/109.658/0.436 ms
14/07/01-10:11:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 108.751/111.762/116.295/3.484 ms
14/07/01-10:13:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 108.678/110.095/113.033/1.568 ms
14/07/01-10:14:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 108.703/110.816/116.083/2.703 ms
