14/07/01-09:53:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.551/177.678/177.887/0.133 ms
14/07/01-09:54:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.471/177.714/177.970/0.573 ms
14/07/01-09:56:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 177.488/177.582/177.671/0.275 ms
14/07/01-09:58:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.571/177.779/177.922/0.398 ms
14/07/01-09:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 177.481/177.569/177.662/0.382 ms
14/07/01-10:01:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.415/177.626/177.796/0.479 ms
14/07/01-10:03:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.427/180.605/180.871/0.411 ms
14/07/01-10:04:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.535/180.669/180.897/0.484 ms
14/07/01-10:06:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.475/180.618/180.768/0.477 ms
14/07/01-10:07:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.507/180.633/180.831/0.289 ms
14/07/01-10:09:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.482/180.573/180.656/0.070 ms
14/07/01-10:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.404/180.606/180.749/0.550 ms
14/07/01-10:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.367/180.570/180.775/0.483 ms
14/07/01-10:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 180.515/180.621/180.698/0.470 ms
14/07/01-10:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.576/180.724/180.923/0.406 ms
14/07/01-10:17:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.466/180.613/180.755/0.286 ms
14/07/01-10:19:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.508/180.659/180.844/0.477 ms
14/07/01-10:21:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.567/180.759/180.926/0.130 ms
14/07/01-10:22:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.468/180.643/180.814/0.400 ms
14/07/01-10:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.400/180.550/180.732/0.142 ms
14/07/01-10:26:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.522/180.610/180.756/0.543 ms
14/07/01-10:27:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.536/180.679/180.877/0.300 ms
14/07/01-10:29:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.476/180.647/180.866/0.483 ms
14/07/01-10:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.522/180.701/181.027/0.420 ms
14/07/01-10:32:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.614/180.850/181.299/0.528 ms
14/07/01-10:34:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.416/181.093/183.283/1.162 ms
14/07/01-10:35:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.558/180.640/180.778/0.281 ms
14/07/01-10:37:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.447/180.558/180.665/0.281 ms
14/07/01-10:39:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.519/180.611/180.728/0.389 ms
14/07/01-10:40:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.318/177.478/177.590/0.543 ms
14/07/01-10:42:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.241/177.446/177.605/0.297 ms
14/07/01-10:44:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.502/177.661/177.787/0.388 ms
14/07/01-10:45:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.466/177.569/177.808/0.396 ms
14/07/01-10:47:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.506/177.632/177.737/0.082 ms
14/07/01-10:49:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.485/177.628/177.784/0.545 ms
14/07/01-10:50:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.478/177.673/177.874/0.548 ms
14/07/01-10:52:26 - 5 packets transmitted, 4 received, 20% packet loss, time 3998ms rtt min/avg/max/mdev = 178.684/178.910/178.996/0.534 ms
14/07/01-10:54:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 178.810/179.000/179.266/0.412 ms
14/07/01-10:55:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.678/177.966/178.931/0.668 ms
14/07/01-10:57:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.708/177.770/177.818/0.534 ms
14/07/01-10:58:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.486/177.693/177.874/0.399 ms
14/07/01-11:00:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 178.893/179.027/179.234/0.552 ms
14/07/01-11:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 178.797/178.907/179.035/0.085 ms
14/07/01-11:03:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.544/177.841/178.223/0.348 ms
14/07/01-11:05:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 178.756/178.994/179.102/0.549 ms
14/07/01-11:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 178.658/178.927/179.035/0.403 ms
14/07/01-11:08:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 178.757/178.897/179.046/0.474 ms
14/07/01-11:10:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 178.936/179.074/179.152/0.469 ms
14/07/01-11:12:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.424/177.731/178.160/0.362 ms
14/07/01-11:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.624/177.669/177.748/0.269 ms
14/07/01-11:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 177.420/177.594/177.726/0.475 ms
14/07/01-11:17:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.544/177.609/177.658/0.463 ms
14/07/01-11:18:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.569/177.682/177.852/0.393 ms
14/07/01-11:20:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 177.436/177.589/177.736/0.120 ms
14/07/01-11:21:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.422/177.565/177.675/0.386 ms
14/07/01-11:23:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 177.590/177.702/177.820/0.471 ms
14/07/01-11:25:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.528/177.669/178.003/0.316 ms
14/07/01-11:26:50 - 5 packets transmitted, 4 received, 20% packet loss, time 3998ms rtt min/avg/max/mdev = 177.661/178.603/178.973/0.690 ms
14/07/01-11:28:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 177.521/177.588/177.686/0.273 ms
14/07/01-11:30:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.477/177.625/177.807/0.401 ms
14/07/01-11:31:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.651/180.749/180.839/0.541 ms
14/07/01-11:33:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 181.809/181.937/182.081/0.290 ms
14/07/01-11:35:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.619/180.735/180.923/0.289 ms
14/07/01-11:36:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.494/180.633/180.798/0.393 ms
14/07/01-11:38:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.624/180.679/180.776/0.274 ms
14/07/01-11:39:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 181.840/181.931/182.071/0.547 ms
14/07/01-11:41:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.468/180.706/180.841/0.401 ms
14/07/01-11:43:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.602/180.830/181.005/0.402 ms
14/07/01-11:44:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.516/180.678/180.810/0.394 ms
14/07/01-11:46:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.542/180.658/180.733/0.385 ms
