14/07/01-09:53:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.365/180.574/180.804/0.308 ms
14/07/01-09:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.112/180.343/180.492/0.406 ms
14/07/01-09:56:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.479/180.629/180.840/0.483 ms
14/07/01-09:57:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.351/180.624/180.872/0.173 ms
14/07/01-09:59:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.212/180.393/180.707/0.565 ms
14/07/01-10:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.139/180.316/180.538/0.553 ms
14/07/01-10:02:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.438/180.619/181.045/0.441 ms
14/07/01-10:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.519/180.625/180.766/0.548 ms
14/07/01-10:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.262/180.563/181.523/0.721 ms
14/07/01-10:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.460/180.983/181.871/0.476 ms
14/07/01-10:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.520/180.651/180.882/0.402 ms
14/07/01-10:11:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.390/180.627/180.829/0.165 ms
14/07/01-10:12:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.328/180.616/180.701/0.556 ms
14/07/01-10:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.511/180.598/180.725/0.544 ms
14/07/01-10:16:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.517/180.616/180.781/0.391 ms
14/07/01-10:17:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.450/180.883/181.963/0.671 ms
14/07/01-10:19:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.390/180.832/181.965/0.592 ms
14/07/01-10:20:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.221/180.380/180.548/0.292 ms
14/07/01-10:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 181.212/200.092/222.110/13.148 ms
14/07/01-10:24:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.274/180.496/180.779/0.561 ms
14/07/01-10:25:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.116/180.330/180.607/0.320 ms
14/07/01-10:27:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.095/180.280/180.582/0.315 ms
14/07/01-10:29:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.133/180.305/180.628/0.416 ms
14/07/01-10:30:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.321/180.505/180.723/0.132 ms
14/07/01-10:32:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.357/180.658/181.023/0.436 ms
14/07/01-10:34:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.499/180.589/180.687/0.472 ms
14/07/01-10:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.439/180.639/180.974/0.502 ms
14/07/01-10:37:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 180.275/180.411/180.523/0.283 ms
14/07/01-10:38:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 180.240/180.397/180.578/0.482 ms
14/07/01-10:40:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.131/180.239/180.323/0.065 ms
14/07/01-10:42:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.433/180.658/180.812/0.401 ms
14/07/01-10:43:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.335/180.537/180.689/0.404 ms
14/07/01-10:45:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.512/180.713/180.860/0.136 ms
14/07/01-10:47:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.474/180.674/180.803/0.290 ms
14/07/01-10:48:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.497/180.581/180.689/0.282 ms
14/07/01-10:50:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.500/180.596/180.723/0.388 ms
14/07/01-10:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.383/180.495/180.647/0.398 ms
14/07/01-10:53:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.512/180.573/180.729/0.280 ms
14/07/01-10:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.204/180.314/180.490/0.285 ms
14/07/01-10:57:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.071/180.347/180.525/0.573 ms
14/07/01-10:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.151/180.349/180.493/0.484 ms
14/07/01-11:00:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 180.131/180.236/180.368/0.542 ms
14/07/01-11:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 180.282/180.465/180.627/0.401 ms
14/07/01-11:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.253/180.340/180.425/0.065 ms
14/07/01-11:05:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 181.050/188.956/199.924/7.689 ms
