14/07/01-09:54:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.163/79.277/79.479/0.281 ms
14/07/01-09:55:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.103/97.844/171.889/37.022 ms
14/07/01-09:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.780/79.203/79.625/0.329 ms
14/07/01-09:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.299/79.540/79.735/0.388 ms
14/07/01-10:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.209/79.352/79.622/0.233 ms
14/07/01-10:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.849/78.966/79.237/0.338 ms
14/07/01-10:04:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.805/79.041/79.267/0.341 ms
14/07/01-10:05:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 79.245/79.461/79.807/0.272 ms
14/07/01-10:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.878/79.213/79.528/0.208 ms
14/07/01-10:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.863/79.138/79.270/0.294 ms
14/07/01-10:10:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.808/79.047/79.422/0.384 ms
14/07/01-10:12:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.879/79.366/79.752/0.386 ms
14/07/01-10:13:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 79.005/79.201/79.425/0.341 ms
14/07/01-10:15:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.712/79.159/79.817/0.417 ms
14/07/01-10:17:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.905/79.058/79.264/0.301 ms
14/07/01-10:18:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.347/79.511/79.870/0.313 ms
14/07/01-10:20:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 79.206/79.409/79.662/0.250 ms
14/07/01-10:22:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 79.132/79.491/79.744/0.325 ms
14/07/01-10:23:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.235/79.468/79.844/0.376 ms
14/07/01-10:25:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.428/79.766/80.328/0.349 ms
14/07/01-10:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.073/79.381/79.633/0.277 ms
14/07/01-10:28:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.392/80.012/80.583/0.540 ms
14/07/01-10:30:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.751/78.956/79.325/0.371 ms
14/07/01-10:31:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.799/79.103/79.291/0.198 ms
14/07/01-10:33:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.855/79.401/79.950/0.473 ms
14/07/01-10:35:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.838/79.225/79.530/0.437 ms
14/07/01-10:36:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.272/79.590/80.052/0.463 ms
14/07/01-10:38:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.428/79.668/79.934/0.246 ms
14/07/01-10:40:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.272/79.397/79.656/0.337 ms
14/07/01-10:41:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 79.271/79.665/80.656/0.581 ms
14/07/01-10:43:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.618/79.047/79.279/0.391 ms
14/07/01-10:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.736/78.986/79.193/0.305 ms
14/07/01-10:46:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.925/79.201/79.681/0.417 ms
14/07/01-10:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.732/79.088/79.438/0.232 ms
14/07/01-10:50:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.049/79.280/79.451/0.303 ms
14/07/01-10:51:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 78.777/79.183/80.004/0.493 ms
