14/07/01-09:53:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.694/155.833/156.121/0.293 ms
14/07/01-09:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.628/155.689/155.768/0.502 ms
14/07/01-09:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 155.669/155.719/155.805/0.435 ms
14/07/01-09:58:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.543/155.771/155.986/0.457 ms
14/07/01-09:59:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 155.481/156.161/157.935/1.030 ms
14/07/01-10:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 155.573/155.747/156.044/0.169 ms
14/07/01-10:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 155.637/155.733/155.809/0.436 ms
14/07/01-10:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.571/155.783/156.098/0.529 ms
14/07/01-10:06:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 155.654/155.723/155.768/0.042 ms
14/07/01-10:08:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 155.672/155.748/155.883/0.438 ms
14/07/01-10:09:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.619/155.661/155.727/0.433 ms
14/07/01-10:11:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 155.740/155.815/155.849/0.040 ms
14/07/01-10:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 155.635/155.731/155.838/0.437 ms
14/07/01-10:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 155.575/155.707/155.812/0.094 ms
14/07/01-10:16:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 155.595/155.729/155.857/0.444 ms
14/07/01-10:17:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 155.606/155.746/155.870/0.368 ms
14/07/01-10:19:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 155.563/155.700/155.826/0.268 ms
14/07/01-10:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 155.471/155.875/156.852/0.559 ms
14/07/01-10:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 155.545/155.676/155.817/0.111 ms
14/07/01-10:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.537/155.654/155.816/0.270 ms
14/07/01-10:26:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.583/155.749/155.963/0.128 ms
14/07/01-10:27:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 155.566/155.668/155.752/0.437 ms
14/07/01-10:29:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 155.488/155.677/155.865/0.448 ms
