14/07/01-09:53:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 158.514/170.262/175.235/6.079 ms
14/07/01-09:55:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 158.145/165.946/171.322/6.180 ms
14/07/01-09:57:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 157.558/165.085/171.789/5.873 ms
14/07/01-09:58:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 158.181/170.210/179.992/6.963 ms
14/07/01-10:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 158.639/166.260/171.744/6.165 ms
14/07/01-10:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.958/168.233/179.059/7.913 ms
14/07/01-10:03:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 158.861/168.753/172.111/4.989 ms
14/07/01-10:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.220/166.175/171.825/6.486 ms
14/07/01-10:06:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.327/168.741/171.827/5.245 ms
14/07/01-10:08:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 157.829/159.044/162.273/1.678 ms
14/07/01-10:10:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.306/165.027/175.477/7.070 ms
14/07/01-10:11:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.211/168.606/171.981/5.221 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 157.824/163.337/171.973/6.653 ms
14/07/01-10:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.143/167.668/171.553/4.484 ms
14/07/01-10:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 159.049/168.941/172.128/4.994 ms
14/07/01-10:18:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 158.167/169.904/178.829/6.654 ms
14/07/01-10:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 157.826/163.829/172.422/6.781 ms
14/07/01-10:21:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.115/163.574/171.213/6.202 ms
14/07/01-10:23:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 158.232/166.068/172.015/6.094 ms
14/07/01-10:24:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 170.543/171.152/171.820/0.551 ms
14/07/01-10:26:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 157.959/164.495/175.119/7.087 ms
14/07/01-10:28:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 158.516/169.172/172.056/5.355 ms
14/07/01-10:29:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 158.021/168.439/171.357/5.215 ms
14/07/01-10:31:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 158.071/159.953/166.635/3.372 ms
14/07/01-10:33:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 158.022/165.202/171.864/5.979 ms
14/07/01-10:34:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 157.857/164.091/171.981/5.446 ms
14/07/01-10:36:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 158.889/168.983/172.305/5.064 ms
14/07/01-10:37:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 157.846/166.110/171.563/6.288 ms
14/07/01-10:39:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 158.361/169.092/180.104/8.902 ms
14/07/01-10:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 170.598/171.721/174.482/1.495 ms
