14/07/01-09:54:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.833/107.957/108.102/0.371 ms
14/07/01-09:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 107.767/107.933/108.102/0.312 ms
14/07/01-09:57:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.880/108.026/108.257/0.127 ms
14/07/01-09:59:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.871/108.098/108.533/0.473 ms
14/07/01-10:00:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.766/107.915/108.007/0.224 ms
14/07/01-10:02:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 107.821/108.343/110.039/0.947 ms
14/07/01-10:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 107.809/108.005/108.118/0.104 ms
14/07/01-10:05:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 107.753/108.143/109.167/0.559 ms
14/07/01-10:07:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.752/107.911/108.143/0.437 ms
14/07/01-10:08:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 107.798/107.992/108.215/0.327 ms
14/07/01-10:10:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.752/107.853/107.907/0.215 ms
14/07/01-10:12:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.808/108.259/109.559/0.718 ms
14/07/01-10:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.751/108.897/110.044/0.946 ms
14/07/01-10:15:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 107.766/107.880/108.091/0.431 ms
14/07/01-10:17:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.688/108.448/110.697/1.149 ms
14/07/01-10:18:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.824/107.931/108.090/0.425 ms
14/07/01-10:20:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 107.730/107.910/108.116/0.384 ms
14/07/01-10:21:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 108.043/109.006/110.384/1.145 ms
14/07/01-10:23:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.716/107.938/108.071/0.381 ms
14/07/01-10:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.710/107.869/107.997/0.092 ms
14/07/01-10:26:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 107.700/107.938/108.223/0.190 ms
14/07/01-10:28:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.911/107.978/108.085/0.058 ms
14/07/01-10:30:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 107.746/108.259/109.902/0.824 ms
14/07/01-10:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.815/107.958/108.262/0.160 ms
14/07/01-10:33:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.898/109.132/110.924/1.451 ms
14/07/01-10:35:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.751/107.851/108.009/0.424 ms
14/07/01-10:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 107.683/107.803/107.935/0.423 ms
14/07/01-10:38:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.757/107.834/107.888/0.418 ms
14/07/01-10:39:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 107.678/107.860/107.990/0.103 ms
14/07/01-10:41:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 107.932/108.039/108.147/0.423 ms
