14/07/01-09:53:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 196.573/196.659/196.815/0.492 ms
14/07/01-09:54:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.530/196.766/196.983/0.183 ms
14/07/01-09:56:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 196.705/196.762/196.858/0.488 ms
14/07/01-09:58:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 196.444/196.556/196.698/0.495 ms
14/07/01-09:59:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 196.242/196.508/196.702/0.429 ms
14/07/01-10:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 196.512/196.891/197.445/0.512 ms
14/07/01-10:02:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 196.520/196.870/197.348/0.431 ms
14/07/01-10:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 196.436/196.826/197.951/0.636 ms
14/07/01-10:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 196.363/196.569/196.872/0.326 ms
14/07/01-10:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 196.434/196.899/197.912/0.782 ms
14/07/01-10:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 196.489/196.837/197.306/0.603 ms
14/07/01-10:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 196.518/196.837/197.112/0.539 ms
14/07/01-10:12:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 196.418/196.739/197.792/0.527 ms
