14/07/01-09:54:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.758/212.644/214.635/1.442 ms
14/07/01-09:55:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 211.235/214.267/220.048/3.142 ms
14/07/01-09:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 211.584/213.907/216.919/2.178 ms
14/07/01-09:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.995/211.410/211.784/0.656 ms
14/07/01-10:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.864/212.935/214.725/1.558 ms
14/07/01-10:02:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 211.635/212.438/214.791/1.218 ms
14/07/01-10:03:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.933/212.213/213.452/1.028 ms
14/07/01-10:05:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 211.858/212.766/214.819/1.193 ms
14/07/01-10:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 211.445/212.828/213.803/1.018 ms
14/07/01-10:08:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 211.320/212.423/213.497/1.054 ms
14/07/01-10:10:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 210.990/213.010/214.833/1.539 ms
14/07/01-10:12:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 211.821/212.612/213.833/1.062 ms
14/07/01-10:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.883/212.684/216.416/2.190 ms
14/07/01-10:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 210.727/211.673/213.459/0.949 ms
14/07/01-10:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 212.412/213.742/215.415/1.056 ms
14/07/01-10:18:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.786/211.648/213.498/1.053 ms
14/07/01-10:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 210.687/211.826/213.185/0.963 ms
14/07/01-10:21:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 209.712/212.133/214.046/1.505 ms
14/07/01-10:23:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 210.761/213.062/215.310/1.736 ms
