14/07/01-09:52:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 177.012/177.393/177.661/0.578 ms
14/07/01-09:54:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 170.238/176.133/185.603/5.720 ms
14/07/01-09:56:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 169.461/177.556/185.583/5.115 ms
14/07/01-09:57:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 169.498/174.312/177.659/3.655 ms
14/07/01-09:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.593/174.587/177.804/3.788 ms
14/07/01-10:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 169.000/171.401/178.025/3.364 ms
14/07/01-10:02:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.307/174.323/177.644/3.739 ms
14/07/01-10:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.519/172.707/177.010/3.357 ms
14/07/01-10:06:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 169.344/172.934/177.893/3.994 ms
14/07/01-10:07:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 170.106/174.570/177.713/3.551 ms
14/07/01-10:09:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 170.234/174.703/177.741/3.595 ms
14/07/01-10:11:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.370/175.901/185.565/6.069 ms
14/07/01-10:12:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.110/172.823/185.599/6.409 ms
14/07/01-10:14:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.049/172.525/177.598/3.873 ms
14/07/01-10:15:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.953/171.422/176.898/2.788 ms
14/07/01-10:17:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 169.170/174.509/177.847/4.023 ms
14/07/01-10:19:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.211/171.570/177.820/3.165 ms
14/07/01-10:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 170.283/174.783/178.137/3.705 ms
14/07/01-10:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 170.282/174.784/177.918/3.654 ms
14/07/01-10:24:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 177.548/179.324/185.506/3.129 ms
14/07/01-10:25:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 170.333/174.772/177.794/3.615 ms
14/07/01-10:27:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 169.356/174.347/177.859/3.712 ms
14/07/01-10:29:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 169.095/172.652/177.539/3.757 ms
14/07/01-10:30:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 169.575/174.754/177.952/3.880 ms
