14/07/01-09:56:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 138.620/141.017/142.554/1.821 ms
14/07/01-09:57:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.805/138.984/142.019/1.970 ms
14/07/01-09:59:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.769/140.261/142.284/1.660 ms
14/07/01-10:01:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.516/139.905/142.923/2.721 ms
14/07/01-10:02:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 139.267/141.249/142.660/1.631 ms
14/07/01-10:04:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.633/140.910/142.594/1.871 ms
14/07/01-10:06:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.770/139.928/142.690/2.625 ms
14/07/01-10:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 138.698/141.706/142.892/1.547 ms
14/07/01-10:09:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.804/139.988/142.419/2.489 ms
14/07/01-10:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.746/140.321/142.387/1.704 ms
14/07/01-10:13:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.703/139.767/142.596/1.497 ms
14/07/01-10:14:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.879/140.392/142.397/1.653 ms
14/07/01-10:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.942/141.698/142.931/1.457 ms
