14/07/01-09:55:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.495/343.627/343.837/0.654 ms
14/07/01-09:57:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.462/343.543/343.580/0.373 ms
14/07/01-09:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 343.625/343.686/343.857/0.648 ms
14/07/01-10:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 343.494/343.626/343.875/0.754 ms
14/07/01-10:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.574/344.043/345.352/0.852 ms
14/07/01-10:04:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.461/343.623/343.743/0.382 ms
14/07/01-10:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 344.038/345.378/346.151/0.822 ms
14/07/01-10:07:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.528/343.780/344.330/0.797 ms
14/07/01-10:09:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 343.480/343.578/343.736/0.533 ms
14/07/01-10:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 343.540/343.685/344.068/0.559 ms
14/07/01-10:12:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 343.606/343.742/343.910/0.649 ms
14/07/01-10:14:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 343.479/343.579/343.713/0.746 ms
14/07/01-10:15:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.404/343.692/344.001/0.423 ms
14/07/01-10:17:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 343.492/343.530/343.662/0.066 ms
14/07/01-10:19:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.483/343.612/343.764/0.531 ms
14/07/01-10:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 343.571/343.734/344.024/0.547 ms
14/07/01-10:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.478/343.540/343.655/0.527 ms
14/07/01-10:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.525/343.641/343.764/0.378 ms
