14/07/01-09:55:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.083/365.507/366.735/0.988 ms
14/07/01-09:57:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 365.473/366.439/367.197/1.036 ms
14/07/01-09:59:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.915/363.904/366.366/1.872 ms
14/07/01-10:00:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.917/363.477/365.513/1.669 ms
14/07/01-10:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.810/364.171/366.874/2.068 ms
14/07/01-10:04:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.014/365.154/369.270/2.408 ms
14/07/01-10:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.186/364.862/366.981/2.107 ms
14/07/01-10:07:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.030/365.933/367.386/1.295 ms
14/07/01-10:09:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 361.949/365.045/366.937/1.703 ms
14/07/01-10:10:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.889/364.227/368.037/2.353 ms
14/07/01-10:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.935/364.428/367.208/2.220 ms
14/07/01-10:14:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 362.070/364.332/366.808/1.983 ms
14/07/01-10:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.958/364.958/366.902/1.721 ms
14/07/01-10:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.930/363.247/365.050/1.247 ms
14/07/01-10:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.015/364.321/366.909/1.996 ms
14/07/01-10:20:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.029/364.804/365.726/1.594 ms
14/07/01-10:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.575/365.511/367.588/1.645 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.940/364.065/366.746/1.910 ms
14/07/01-10:25:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.034/364.642/367.120/2.251 ms
14/07/01-10:27:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.109/364.096/367.097/1.996 ms
14/07/01-10:29:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.880/364.805/367.223/1.895 ms
14/07/01-10:30:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.018/365.344/367.198/1.900 ms
14/07/01-10:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 365.122/365.307/365.462/0.671 ms
14/07/01-10:34:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.585/364.728/365.585/1.274 ms
14/07/01-10:35:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.831/364.973/367.068/2.083 ms
14/07/01-10:37:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 365.397/365.496/365.711/0.398 ms
14/07/01-10:39:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.881/364.161/366.662/1.992 ms
14/07/01-10:41:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 363.600/365.077/365.629/0.838 ms
14/07/01-10:42:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.969/365.397/367.590/1.954 ms
14/07/01-10:44:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.031/365.728/367.208/0.935 ms
14/07/01-10:46:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 365.006/365.208/365.443/0.166 ms
14/07/01-10:47:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.115/364.982/368.092/2.458 ms
14/07/01-10:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 365.123/365.432/365.645/0.567 ms
14/07/01-10:51:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.040/363.907/367.934/2.134 ms
14/07/01-10:52:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.850/362.986/365.583/1.455 ms
14/07/01-10:54:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.967/364.146/366.035/1.540 ms
14/07/01-10:56:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.885/363.984/365.444/1.849 ms
14/07/01-10:57:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 362.006/364.106/365.530/1.457 ms
14/07/01-10:59:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.903/363.719/365.533/1.719 ms
14/07/01-11:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.909/364.648/367.090/1.845 ms
14/07/01-11:02:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.693/364.735/365.619/0.929 ms
14/07/01-11:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 362.771/365.358/367.148/1.577 ms
14/07/01-11:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.112/365.778/370.669/2.631 ms
14/07/01-11:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 361.902/364.383/365.861/1.501 ms
14/07/01-11:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.890/366.710/373.057/3.460 ms
14/07/01-11:11:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 365.025/366.004/367.054/0.985 ms
14/07/01-11:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 363.867/364.840/365.606/1.023 ms
14/07/01-11:14:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.976/363.824/367.516/2.402 ms
14/07/01-11:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 364.993/365.781/366.972/1.178 ms
14/07/01-11:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 362.003/365.222/366.888/1.768 ms
14/07/01-11:19:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.123/364.105/365.503/1.368 ms
14/07/01-11:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 361.834/364.623/365.856/1.569 ms
14/07/01-11:23:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.930/363.994/365.857/1.673 ms
14/07/01-11:24:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 365.057/365.611/366.724/0.894 ms
14/07/01-11:26:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.871/362.630/365.399/1.436 ms
14/07/01-11:28:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.831/365.344/367.102/2.035 ms
14/07/01-11:29:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.052/363.947/365.240/1.517 ms
14/07/01-11:31:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.112/364.603/366.758/1.638 ms
14/07/01-11:33:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.001/365.526/366.914/0.971 ms
14/07/01-11:34:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.905/364.296/365.365/1.378 ms
14/07/01-11:36:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.984/378.686/437.026/29.234 ms
14/07/01-11:38:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 365.240/403.660/430.566/30.627 ms
14/07/01-11:39:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 433.359/436.195/438.824/2.299 ms
14/07/01-11:41:35 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 433.303/435.368/437.192/1.536 ms
14/07/01-11:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 418.150/429.831/436.644/6.503 ms
14/07/01-11:44:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 427.519/432.043/436.200/3.265 ms
14/07/01-11:46:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 430.873/434.978/438.599/3.050 ms
14/07/01-11:48:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 364.923/365.472/366.848/1.054 ms
14/07/01-11:49:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.914/363.969/365.525/1.630 ms
14/07/01-11:51:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.939/364.778/367.166/1.876 ms
14/07/01-11:53:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 365.081/365.977/367.292/0.935 ms
14/07/01-11:55:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.019/366.238/367.250/1.025 ms
14/07/01-11:56:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.099/364.858/365.760/1.581 ms
14/07/01-11:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.774/365.699/367.115/1.443 ms
14/07/01-12:00:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 365.185/365.396/365.715/0.784 ms
14/07/01-12:01:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.088/364.982/366.789/1.600 ms
14/07/01-12:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.325/365.851/367.640/2.071 ms
14/07/01-12:05:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.892/363.368/365.787/1.624 ms
