14/07/01-09:56:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.487/242.120/243.391/0.842 ms
14/07/01-09:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.640/241.754/241.904/0.096 ms
14/07/01-10:00:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.777/242.016/242.512/0.273 ms
14/07/01-10:01:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 241.573/241.835/242.199/0.587 ms
14/07/01-10:03:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.773/242.247/243.107/0.791 ms
14/07/01-10:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.538/241.944/242.258/0.595 ms
14/07/01-10:06:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.557/241.783/242.149/0.573 ms
14/07/01-10:08:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.608/242.173/242.747/0.726 ms
14/07/01-10:10:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.584/241.665/241.740/0.444 ms
14/07/01-10:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.642/242.343/244.334/1.063 ms
14/07/01-10:13:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.579/241.794/242.238/0.233 ms
14/07/01-10:15:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 241.588/241.846/242.055/0.568 ms
14/07/01-10:16:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.515/241.782/242.114/0.480 ms
14/07/01-10:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.533/241.796/242.038/0.164 ms
14/07/01-10:20:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.620/241.728/241.862/0.322 ms
14/07/01-10:22:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.651/241.778/241.911/0.629 ms
14/07/01-10:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.443/241.696/241.817/0.131 ms
14/07/01-10:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.629/241.917/242.549/0.706 ms
14/07/01-10:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 241.532/241.706/241.958/0.556 ms
14/07/01-10:28:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.497/241.731/241.943/0.143 ms
14/07/01-10:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.592/241.777/242.025/0.351 ms
14/07/01-10:32:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 241.650/242.319/243.856/0.844 ms
14/07/01-10:33:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.709/242.147/242.870/0.793 ms
14/07/01-10:35:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 241.761/241.976/242.169/0.459 ms
14/07/01-10:37:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 241.540/241.751/241.970/0.475 ms
14/07/01-10:38:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 241.447/241.764/242.244/0.688 ms
14/07/01-10:40:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.779/242.267/244.033/0.987 ms
14/07/01-10:42:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.422/241.606/241.711/0.326 ms
14/07/01-10:43:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.656/241.782/241.953/0.338 ms
14/07/01-10:45:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 241.657/241.975/242.179/0.481 ms
14/07/01-10:47:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.499/241.932/242.902/0.508 ms
14/07/01-10:48:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.538/242.222/243.448/0.826 ms
14/07/01-10:50:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.500/241.717/241.993/0.160 ms
14/07/01-10:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.720/241.959/242.239/0.491 ms
14/07/01-10:53:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.640/241.839/241.999/0.634 ms
14/07/01-10:55:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.612/241.709/241.938/0.333 ms
14/07/01-10:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 241.461/241.781/241.917/0.166 ms
