14/07/01-09:55:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.256/323.327/323.448/0.365 ms
14/07/01-09:57:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.195/323.618/325.058/0.953 ms
14/07/01-09:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.238/323.299/323.422/0.365 ms
14/07/01-10:00:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.234/323.316/323.461/0.628 ms
14/07/01-10:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.253/323.344/323.388/0.624 ms
14/07/01-10:04:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.298/323.327/323.359/0.623 ms
14/07/01-10:05:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.241/323.521/324.020/0.696 ms
14/07/01-10:07:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.170/323.292/323.384/0.084 ms
14/07/01-10:09:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.199/323.504/324.284/0.394 ms
14/07/01-10:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.286/323.319/323.373/0.623 ms
14/07/01-10:12:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.302/323.341/323.376/0.509 ms
14/07/01-10:14:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.271/323.294/323.321/0.508 ms
14/07/01-10:16:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.234/323.297/323.355/0.039 ms
14/07/01-10:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.275/323.596/324.680/0.826 ms
14/07/01-10:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.224/323.278/323.381/0.625 ms
14/07/01-10:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.272/323.347/323.470/0.066 ms
14/07/01-10:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.254/323.431/323.930/0.568 ms
14/07/01-10:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.181/323.244/323.360/0.365 ms
14/07/01-10:26:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.318/323.375/323.429/0.361 ms
14/07/01-10:27:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.292/323.312/323.345/0.360 ms
14/07/01-10:29:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.195/323.279/323.437/0.723 ms
14/07/01-10:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.212/323.747/325.617/0.937 ms
14/07/01-10:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.263/323.354/323.498/0.079 ms
14/07/01-10:34:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.266/323.325/323.399/0.363 ms
14/07/01-10:36:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.262/324.010/325.935/1.067 ms
14/07/01-10:37:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.278/323.509/324.382/0.841 ms
14/07/01-10:39:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.285/323.309/323.344/0.509 ms
14/07/01-10:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.229/323.436/324.230/0.645 ms
14/07/01-10:42:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.226/323.281/323.362/0.048 ms
14/07/01-10:44:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.234/323.289/323.404/0.364 ms
14/07/01-10:46:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.249/323.586/324.811/0.710 ms
14/07/01-10:48:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.291/323.502/324.145/0.702 ms
14/07/01-10:49:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.205/323.308/323.359/0.721 ms
14/07/01-10:51:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.236/323.289/323.336/0.509 ms
14/07/01-10:53:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.213/323.281/323.374/0.058 ms
14/07/01-10:54:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.242/323.302/323.424/0.722 ms
14/07/01-10:56:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.255/323.347/323.467/0.722 ms
14/07/01-10:58:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.266/323.379/323.624/0.635 ms
14/07/01-10:59:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.239/324.030/326.626/1.486 ms
14/07/01-11:01:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.242/323.342/323.460/0.367 ms
14/07/01-11:03:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.214/323.275/323.415/0.366 ms
14/07/01-11:04:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.213/323.271/323.438/0.369 ms
14/07/01-11:06:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.314/323.493/324.103/0.693 ms
14/07/01-11:08:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.255/323.332/323.425/0.625 ms
14/07/01-11:09:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.330/323.440/323.585/0.373 ms
14/07/01-11:11:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.229/323.492/324.080/0.694 ms
14/07/01-11:13:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.266/323.480/324.243/0.730 ms
14/07/01-11:14:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.286/323.338/323.391/0.361 ms
14/07/01-11:16:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.205/323.332/323.449/0.627 ms
14/07/01-11:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.307/323.402/323.522/0.367 ms
14/07/01-11:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.240/323.323/323.511/0.630 ms
14/07/01-11:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.240/323.312/323.561/0.124 ms
14/07/01-11:23:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.238/323.473/324.056/0.467 ms
14/07/01-11:25:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.314/323.820/325.499/0.984 ms
14/07/01-11:26:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 323.293/323.513/324.199/0.711 ms
14/07/01-11:28:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.248/323.438/323.782/0.540 ms
14/07/01-11:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.237/323.307/323.397/0.512 ms
14/07/01-11:31:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.232/323.320/323.375/0.721 ms
14/07/01-11:33:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.289/323.356/323.428/0.510 ms
14/07/01-11:35:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.187/323.282/323.371/0.513 ms
14/07/01-11:36:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.263/323.309/323.347/0.509 ms
14/07/01-11:38:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.182/323.257/323.352/0.060 ms
14/07/01-11:40:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.280/323.347/323.459/0.076 ms
14/07/01-11:41:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.259/323.376/323.745/0.742 ms
14/07/01-11:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.241/323.374/323.536/0.100 ms
14/07/01-11:45:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.221/323.440/323.827/0.664 ms
14/07/01-11:46:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.236/324.377/327.282/1.583 ms
14/07/01-11:48:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.280/323.391/323.612/0.729 ms
14/07/01-11:50:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.312/323.506/324.106/0.469 ms
14/07/01-11:51:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.231/323.394/323.817/0.658 ms
14/07/01-11:53:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.259/323.335/323.462/0.722 ms
14/07/01-11:55:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.161/323.310/323.428/0.369 ms
14/07/01-11:56:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.277/323.393/323.555/0.520 ms
14/07/01-11:58:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.190/323.342/323.453/0.517 ms
14/07/01-12:00:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.227/323.261/323.295/0.509 ms
14/07/01-12:02:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.171/323.331/323.593/0.529 ms
14/07/01-12:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.304/323.377/323.449/0.721 ms
14/07/01-12:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.284/324.177/325.810/1.167 ms
14/07/01-12:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.240/323.327/323.605/0.385 ms
14/07/01-12:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.223/323.342/323.489/0.372 ms
14/07/01-12:11:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.185/323.813/325.871/1.030 ms
14/07/01-12:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.201/323.319/323.407/0.723 ms
14/07/01-12:14:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.236/323.277/323.321/0.509 ms
14/07/01-12:16:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.253/323.560/324.316/0.736 ms
14/07/01-12:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.305/323.968/325.295/0.996 ms
14/07/01-12:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.224/323.295/323.348/0.510 ms
14/07/01-12:22:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.174/323.502/324.119/0.494 ms
14/07/01-12:24:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.235/323.302/323.353/0.362 ms
14/07/01-12:25:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.270/323.302/323.366/0.509 ms
14/07/01-12:27:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.270/323.336/323.507/0.628 ms
14/07/01-12:29:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.204/323.259/323.308/0.509 ms
14/07/01-12:31:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.199/323.282/323.345/0.625 ms
14/07/01-12:33:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.246/323.291/323.329/0.720 ms
14/07/01-12:35:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.227/323.382/323.782/0.654 ms
14/07/01-12:37:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.235/323.303/323.414/0.364 ms
14/07/01-12:38:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.235/323.311/323.421/0.067 ms
