14/07/01-09:56:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.085/155.829/157.541/1.535 ms
14/07/01-09:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.068/155.086/156.838/1.720 ms
14/07/01-09:59:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.885/156.586/157.852/0.851 ms
14/07/01-10:01:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 155.294/156.221/156.748/0.688 ms
14/07/01-10:03:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.773/154.433/156.768/1.902 ms
14/07/01-10:04:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.202/155.611/156.642/1.314 ms
14/07/01-10:06:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 152.835/155.870/156.779/1.523 ms
14/07/01-10:08:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.823/154.343/156.371/1.541 ms
14/07/01-10:09:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 153.235/155.613/156.249/1.290 ms
14/07/01-10:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.967/155.187/156.707/1.605 ms
14/07/01-10:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 152.921/155.922/157.622/1.645 ms
14/07/01-10:14:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.111/155.661/156.674/1.374 ms
14/07/01-10:16:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.409/156.260/157.360/1.464 ms
14/07/01-10:18:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.224/155.860/156.879/1.406 ms
14/07/01-10:19:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.138/155.033/156.517/1.521 ms
14/07/01-10:21:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.174/155.078/156.626/1.558 ms
14/07/01-10:23:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.965/155.030/156.580/1.719 ms
14/07/01-10:24:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.757/154.395/156.701/1.831 ms
14/07/01-10:26:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.794/155.102/156.575/1.688 ms
14/07/01-10:28:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.832/155.842/156.855/1.532 ms
14/07/01-10:29:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 152.789/155.192/156.854/1.986 ms
14/07/01-10:31:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.937/153.701/156.375/1.426 ms
14/07/01-10:33:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.086/155.180/157.052/1.766 ms
14/07/01-10:35:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.679/155.563/156.614/1.496 ms
14/07/01-10:36:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.158/155.779/156.677/1.409 ms
14/07/01-10:38:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.918/155.780/156.738/1.521 ms
14/07/01-10:40:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 152.972/155.722/157.040/1.443 ms
14/07/01-10:41:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 153.268/155.076/156.502/1.548 ms
14/07/01-10:43:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 152.930/155.897/157.678/1.581 ms
14/07/01-10:45:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 153.243/155.788/156.843/1.349 ms
14/07/01-10:46:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.897/154.924/156.477/1.642 ms
14/07/01-10:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.797/155.129/156.504/1.633 ms
