14/07/01-09:56:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.159/197.055/199.724/1.439 ms
14/07/01-09:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.332/197.529/199.380/1.457 ms
14/07/01-09:59:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 196.172/198.134/201.463/2.011 ms
14/07/01-10:01:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4008ms rtt min/avg/max/mdev = 196.196/198.355/201.547/2.627 ms
14/07/01-10:03:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.180/199.217/201.387/1.733 ms
14/07/01-10:05:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.270/198.106/201.669/2.269 ms
14/07/01-10:06:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.229/199.263/204.595/3.467 ms
14/07/01-10:08:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.222/198.687/199.367/1.233 ms
14/07/01-10:10:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 196.224/199.473/203.451/2.901 ms
14/07/01-10:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.108/197.968/200.552/1.868 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 196.289/198.450/200.833/1.868 ms
14/07/01-10:15:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.339/199.679/201.518/1.891 ms
14/07/01-10:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 196.292/198.551/201.658/2.096 ms
14/07/01-10:18:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.229/196.980/199.651/1.449 ms
14/07/01-10:20:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.288/198.774/201.833/2.373 ms
14/07/01-10:21:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.130/197.999/201.610/2.258 ms
14/07/01-10:23:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 196.276/196.944/199.258/1.227 ms
