14/07/01-09:56:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.312/380.487/380.842/0.585 ms
14/07/01-09:57:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.363/380.452/380.555/0.394 ms
14/07/01-09:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.247/380.435/380.565/0.408 ms
14/07/01-10:01:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.420/380.511/380.668/0.562 ms
14/07/01-10:02:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.204/380.354/380.439/0.083 ms
14/07/01-10:04:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.301/380.455/380.578/0.103 ms
14/07/01-10:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.356/380.467/380.637/0.682 ms
14/07/01-10:07:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.409/380.539/380.736/0.787 ms
14/07/01-10:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.446/380.469/380.497/0.016 ms
14/07/01-10:11:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.442/380.505/380.628/0.678 ms
14/07/01-10:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.311/380.442/380.608/0.561 ms
14/07/01-10:14:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.374/380.495/380.570/0.065 ms
14/07/01-10:16:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.383/380.490/380.570/0.395 ms
14/07/01-10:17:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.414/380.478/380.506/0.391 ms
14/07/01-10:19:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.330/380.588/380.987/0.714 ms
14/07/01-10:21:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.306/380.428/380.548/0.400 ms
14/07/01-10:22:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.364/380.458/380.529/0.555 ms
14/07/01-10:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.440/380.716/381.421/0.362 ms
14/07/01-10:26:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.404/380.524/380.640/0.399 ms
14/07/01-10:28:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.421/380.507/380.548/0.045 ms
14/07/01-10:29:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.456/380.570/380.823/0.792 ms
14/07/01-10:31:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.432/380.469/380.544/0.781 ms
14/07/01-10:33:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.434/380.616/381.071/0.598 ms
14/07/01-10:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.399/380.480/380.538/0.392 ms
14/07/01-10:36:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.373/380.597/381.092/0.467 ms
14/07/01-10:38:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.446/380.501/380.624/0.678 ms
14/07/01-10:39:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.430/380.468/380.519/0.391 ms
14/07/01-10:41:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.449/380.513/380.659/0.556 ms
14/07/01-10:43:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.341/380.442/380.516/0.556 ms
14/07/01-10:44:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.432/380.463/380.487/0.780 ms
14/07/01-10:46:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.360/380.486/380.810/0.695 ms
14/07/01-10:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.408/380.494/380.645/0.398 ms
