14/07/01-09:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.969/356.075/356.151/0.384 ms
14/07/01-09:57:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 356.179/356.353/356.776/0.784 ms
14/07/01-09:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.996/356.037/356.063/0.534 ms
14/07/01-10:00:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 356.024/356.099/356.176/0.048 ms
14/07/01-10:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.118/356.252/356.630/0.779 ms
14/07/01-10:04:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.974/356.118/356.466/0.178 ms
14/07/01-10:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 356.088/356.412/356.681/0.686 ms
14/07/01-10:07:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.895/356.080/356.226/0.396 ms
14/07/01-10:09:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.007/356.275/356.578/0.678 ms
14/07/01-10:10:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 356.073/356.261/356.474/0.553 ms
14/07/01-10:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.978/356.120/356.224/0.760 ms
14/07/01-10:14:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.089/356.187/356.280/0.072 ms
14/07/01-10:15:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.955/356.056/356.146/0.384 ms
14/07/01-10:17:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.930/356.016/356.162/0.085 ms
14/07/01-10:19:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 356.071/356.140/356.264/0.658 ms
14/07/01-10:20:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 356.038/356.421/357.084/0.685 ms
14/07/01-10:22:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.971/356.069/356.154/0.060 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.031/356.106/356.240/0.657 ms
14/07/01-10:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 356.058/356.124/356.287/0.659 ms
14/07/01-10:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.991/356.070/356.260/0.543 ms
14/07/01-10:29:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.008/356.103/356.221/0.658 ms
14/07/01-10:31:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 355.972/356.164/356.478/0.777 ms
14/07/01-10:32:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 356.043/356.131/356.221/0.071 ms
14/07/01-10:34:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.955/356.097/356.219/0.541 ms
14/07/01-10:36:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 356.064/356.188/356.380/0.107 ms
14/07/01-10:37:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.033/356.150/356.297/0.540 ms
14/07/01-10:39:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.065/356.128/356.155/0.755 ms
14/07/01-10:41:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.053/356.225/356.494/0.152 ms
14/07/01-10:42:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.988/356.107/356.204/0.383 ms
14/07/01-10:44:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.992/356.057/356.204/0.758 ms
