14/07/01-09:56:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 465.262/470.667/477.199/3.907 ms
14/07/01-09:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 464.305/468.768/472.482/2.743 ms
14/07/01-09:59:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 467.745/474.019/477.466/3.505 ms
14/07/01-10:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 468.900/471.672/473.938/2.278 ms
14/07/01-10:03:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 468.065/471.766/475.725/2.587 ms
14/07/01-10:04:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 467.542/469.389/472.743/1.974 ms
14/07/01-10:06:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 469.226/473.011/475.956/2.426 ms
14/07/01-10:08:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 465.542/468.662/473.077/2.484 ms
14/07/01-10:09:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 466.773/470.164/472.935/2.524 ms
14/07/01-10:11:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 467.824/470.210/472.467/1.868 ms
14/07/01-10:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 468.493/473.424/476.856/3.232 ms
14/07/01-10:15:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 472.202/473.746/477.898/2.135 ms
14/07/01-10:16:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 471.025/472.750/476.066/1.931 ms
