14/07/01-09:56:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.036/398.207/398.527/0.711 ms
14/07/01-09:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.063/398.109/398.160/0.033 ms
14/07/01-10:00:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.121/398.193/398.241/0.047 ms
14/07/01-10:01:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.136/398.590/400.258/1.154 ms
14/07/01-10:03:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.060/398.244/398.636/0.201 ms
14/07/01-10:05:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.127/398.176/398.315/0.801 ms
14/07/01-10:06:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.056/398.214/398.723/0.255 ms
14/07/01-10:08:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.050/398.100/398.204/0.566 ms
14/07/01-10:10:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.067/398.123/398.183/0.040 ms
14/07/01-10:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.066/398.210/398.607/0.822 ms
14/07/01-10:13:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.113/398.158/398.244/0.401 ms
14/07/01-10:15:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.078/398.120/398.214/0.048 ms
14/07/01-10:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.033/398.314/398.956/0.769 ms
14/07/01-10:18:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.088/398.136/398.197/0.036 ms
14/07/01-10:20:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.055/398.125/398.197/0.402 ms
14/07/01-10:21:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 398.085/398.186/398.417/0.416 ms
14/07/01-10:23:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.113/398.183/398.258/0.693 ms
14/07/01-10:25:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.073/398.116/398.207/0.799 ms
14/07/01-10:26:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.118/398.161/398.216/0.565 ms
14/07/01-10:28:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.079/398.165/398.402/0.807 ms
14/07/01-10:30:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.027/398.134/398.231/0.694 ms
14/07/01-10:32:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.100/398.140/398.224/0.401 ms
14/07/01-10:33:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.087/398.140/398.200/0.035 ms
14/07/01-10:35:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.074/398.123/398.230/0.403 ms
14/07/01-10:37:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.144/398.278/398.531/0.579 ms
14/07/01-10:38:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.012/398.081/398.206/0.404 ms
14/07/01-10:40:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 398.094/398.165/398.255/0.800 ms
14/07/01-10:42:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.085/399.386/401.394/1.650 ms
14/07/01-10:43:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.134/398.193/398.303/0.567 ms
14/07/01-10:45:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.088/398.141/398.210/0.401 ms
14/07/01-10:47:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.160/398.356/399.042/0.771 ms
14/07/01-10:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.102/398.526/399.951/0.714 ms
14/07/01-10:50:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.116/398.156/398.224/0.400 ms
14/07/01-10:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.102/398.790/401.295/1.374 ms
14/07/01-10:53:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.029/398.754/401.191/1.221 ms
14/07/01-10:55:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.121/398.173/398.228/0.692 ms
14/07/01-10:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.074/398.270/398.810/0.277 ms
14/07/01-10:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.042/398.168/398.274/0.076 ms
14/07/01-11:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.164/398.209/398.323/0.567 ms
14/07/01-11:02:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.055/398.712/401.073/1.310 ms
14/07/01-11:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.071/398.147/398.287/0.569 ms
14/07/01-11:05:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 471.484/490.775/507.140/15.552 ms
14/07/01-11:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.099/398.182/398.325/0.801 ms
14/07/01-11:08:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.070/398.107/398.129/0.020 ms
14/07/01-11:10:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.023/398.118/398.275/0.570 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.137/398.541/399.857/0.868 ms
14/07/01-11:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.055/398.141/398.254/0.695 ms
14/07/01-11:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.056/398.128/398.174/0.799 ms
14/07/01-11:17:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.127/398.231/398.388/0.577 ms
14/07/01-11:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.129/398.163/398.200/0.399 ms
14/07/01-11:20:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.072/398.822/400.012/1.015 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.065/398.123/398.209/0.692 ms
14/07/01-11:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.031/398.751/401.159/1.390 ms
14/07/01-11:25:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.125/398.194/398.366/0.409 ms
14/07/01-11:27:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.071/398.217/398.657/0.222 ms
14/07/01-11:29:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 398.178/398.223/398.257/0.565 ms
14/07/01-11:30:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.071/398.151/398.281/0.568 ms
14/07/01-11:32:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.105/398.153/398.210/0.799 ms
14/07/01-11:34:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.084/398.796/401.072/1.278 ms
14/07/01-11:35:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.082/398.144/398.176/0.798 ms
14/07/01-11:37:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.070/398.162/398.262/0.405 ms
14/07/01-11:39:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.081/398.163/398.302/0.696 ms
14/07/01-11:40:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 398.074/398.164/398.281/0.695 ms
14/07/01-11:42:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.072/398.134/398.241/0.067 ms
14/07/01-11:44:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.115/398.161/398.203/0.035 ms
14/07/01-11:46:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.094/398.257/398.817/0.846 ms
14/07/01-11:47:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.139/398.326/398.919/0.753 ms
14/07/01-11:49:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.058/398.139/398.281/0.802 ms
14/07/01-11:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 398.056/398.171/398.286/0.405 ms
14/07/01-11:52:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.072/398.154/398.229/0.800 ms
14/07/01-11:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.087/398.129/398.163/0.798 ms
14/07/01-11:56:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.084/398.243/398.734/0.616 ms
14/07/01-11:57:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.093/398.176/398.275/0.070 ms
14/07/01-11:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.082/398.131/398.260/0.066 ms
14/07/01-12:01:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.133/399.104/400.735/1.420 ms
14/07/01-12:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.116/398.211/398.343/0.083 ms
14/07/01-12:04:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.084/398.142/398.182/0.692 ms
14/07/01-12:06:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.120/398.213/398.437/0.576 ms
14/07/01-12:08:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.113/398.224/398.318/0.405 ms
14/07/01-12:10:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.081/398.113/398.130/0.564 ms
14/07/01-12:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.098/398.156/398.340/0.409 ms
14/07/01-12:14:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.105/398.162/398.235/0.402 ms
14/07/01-12:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.123/398.188/398.249/0.401 ms
14/07/01-12:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.067/398.132/398.263/0.800 ms
14/07/01-12:19:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.073/398.157/398.240/0.693 ms
14/07/01-12:21:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.098/398.137/398.195/0.035 ms
14/07/01-12:23:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.111/398.155/398.236/0.566 ms
14/07/01-12:25:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.056/398.201/398.342/0.410 ms
14/07/01-12:26:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.095/398.172/398.238/0.693 ms
14/07/01-12:28:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.114/398.177/398.217/0.565 ms
14/07/01-12:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.088/398.169/398.302/0.079 ms
14/07/01-12:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.057/398.167/398.305/0.411 ms
14/07/01-12:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.122/398.146/398.172/0.564 ms
14/07/01-12:36:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.088/398.164/398.226/0.799 ms
14/07/01-12:37:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 398.029/398.439/399.630/0.998 ms
14/07/01-12:39:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.096/398.151/398.218/0.692 ms
14/07/01-12:41:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.141/398.206/398.308/0.695 ms
14/07/01-12:43:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.095/398.568/400.180/1.135 ms
14/07/01-12:45:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.107/398.199/398.302/0.568 ms
14/07/01-12:47:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.115/398.439/399.459/0.948 ms
14/07/01-12:49:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 398.080/398.113/398.177/0.692 ms
14/07/01-12:50:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.146/398.985/399.717/0.721 ms
14/07/01-12:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.064/398.154/398.209/0.693 ms
14/07/01-12:54:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.085/398.451/399.683/0.926 ms
14/07/01-12:56:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.113/398.210/398.326/0.570 ms
14/07/01-12:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.076/398.124/398.171/0.798 ms
14/07/01-13:00:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.111/398.405/399.406/0.942 ms
14/07/01-13:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.087/398.288/398.837/0.487 ms
14/07/01-13:03:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.133/398.165/398.243/0.799 ms
14/07/01-13:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.090/398.139/398.228/0.048 ms
14/07/01-13:06:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.100/398.123/398.168/0.564 ms
14/07/01-13:08:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.067/398.136/398.241/0.403 ms
14/07/01-13:10:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.092/398.191/398.270/0.058 ms
14/07/01-13:11:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 397.990/398.683/401.020/1.170 ms
14/07/01-13:13:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.075/398.132/398.242/0.694 ms
14/07/01-13:15:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.084/398.112/398.163/0.029 ms
14/07/01-13:16:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.130/398.159/398.190/0.691 ms
14/07/01-13:18:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.101/398.179/398.303/0.080 ms
14/07/01-13:20:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.125/398.694/400.864/1.156 ms
14/07/01-13:21:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.123/398.143/398.164/0.564 ms
14/07/01-13:23:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.120/398.188/398.345/0.570 ms
14/07/01-13:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.089/398.163/398.323/0.696 ms
14/07/01-13:26:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.092/398.157/398.276/0.403 ms
14/07/01-13:28:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.077/398.167/398.275/0.065 ms
14/07/01-13:30:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.066/398.135/398.235/0.062 ms
14/07/01-13:31:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.075/398.157/398.278/0.406 ms
14/07/01-13:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.088/398.216/398.447/0.148 ms
14/07/01-13:35:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.094/398.163/398.231/0.566 ms
14/07/01-13:37:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.093/398.260/398.379/0.411 ms
14/07/01-13:38:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.090/398.168/398.347/0.572 ms
14/07/01-13:40:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.109/398.194/398.297/0.569 ms
14/07/01-13:42:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.074/398.164/398.248/0.568 ms
14/07/01-13:43:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 398.266/398.593/398.795/0.721 ms
14/07/01-13:45:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.112/398.162/398.223/0.798 ms
14/07/01-13:47:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 398.124/398.177/398.240/0.401 ms
14/07/01-13:48:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.050/398.157/398.350/0.573 ms
14/07/01-13:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.076/398.142/398.259/0.567 ms
14/07/01-13:52:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.112/398.183/398.259/0.693 ms
14/07/01-13:53:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.057/398.343/399.040/0.874 ms
14/07/01-13:55:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.072/398.135/398.242/0.403 ms
14/07/01-13:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.080/398.164/398.232/0.799 ms
