14/07/01-09:56:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.312/388.303/389.817/1.756 ms
14/07/01-09:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.359/389.010/389.937/1.396 ms
14/07/01-09:59:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.252/388.214/389.527/1.557 ms
14/07/01-10:01:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.296/389.329/391.442/1.809 ms
14/07/01-10:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.285/388.861/392.520/2.356 ms
14/07/01-10:04:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.230/388.426/390.569/1.835 ms
14/07/01-10:06:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 389.403/389.693/390.173/0.843 ms
14/07/01-10:07:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 389.415/389.577/389.901/0.172 ms
14/07/01-10:09:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.280/387.703/389.861/1.743 ms
14/07/01-10:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.394/388.570/389.990/1.721 ms
14/07/01-10:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 389.442/389.775/389.876/0.428 ms
14/07/01-10:14:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.482/388.922/389.807/1.290 ms
14/07/01-10:16:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.300/387.683/389.584/1.567 ms
14/07/01-10:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.349/388.564/390.639/1.952 ms
14/07/01-10:19:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.307/388.381/390.028/1.835 ms
14/07/01-10:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.303/388.292/389.699/1.778 ms
14/07/01-10:23:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.342/389.000/389.911/1.454 ms
14/07/01-10:24:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.343/388.373/389.866/1.795 ms
