14/07/01-09:57:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.357/209.605/210.173/0.308 ms
14/07/01-09:58:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.218/209.560/209.877/0.471 ms
14/07/01-10:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.389/209.585/210.051/0.554 ms
14/07/01-10:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.241/209.523/209.687/0.154 ms
14/07/01-10:03:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.493/210.175/212.191/1.171 ms
14/07/01-10:05:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.388/209.603/209.971/0.613 ms
14/07/01-10:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.161/209.531/210.392/0.615 ms
14/07/01-10:08:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.300/209.734/210.385/0.592 ms
14/07/01-10:10:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.391/209.622/209.999/0.354 ms
14/07/01-10:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.401/209.783/210.293/0.425 ms
14/07/01-10:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.504/210.208/212.094/1.008 ms
14/07/01-10:15:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.257/209.510/210.012/0.571 ms
14/07/01-10:17:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.340/209.728/210.336/0.700 ms
14/07/01-10:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.341/209.534/209.867/0.348 ms
14/07/01-10:20:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.491/209.748/210.002/0.533 ms
14/07/01-10:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.255/209.643/210.086/0.519 ms
14/07/01-10:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 209.368/209.650/210.087/0.635 ms
14/07/01-10:25:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.296/209.574/209.895/0.471 ms
14/07/01-10:27:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.386/209.786/210.553/0.585 ms
14/07/01-10:28:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.407/209.703/210.060/0.398 ms
14/07/01-10:30:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.389/209.932/210.432/0.599 ms
14/07/01-10:32:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.341/209.560/209.740/0.599 ms
14/07/01-10:34:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.323/209.489/209.646/0.427 ms
14/07/01-10:35:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.858/211.388/212.236/1.054 ms
14/07/01-10:37:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.325/209.456/209.685/0.122 ms
14/07/01-10:39:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.389/210.037/211.625/0.961 ms
14/07/01-10:40:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.357/210.148/212.690/1.280 ms
14/07/01-10:42:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.347/210.320/213.124/1.478 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 209.292/209.676/210.298/0.670 ms
14/07/01-10:45:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.316/209.372/209.467/0.295 ms
14/07/01-10:47:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.330/209.596/209.877/0.338 ms
14/07/01-10:49:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.265/209.546/209.844/0.218 ms
14/07/01-10:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.301/209.664/210.403/0.701 ms
14/07/01-10:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.258/209.828/210.376/0.647 ms
14/07/01-10:54:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.340/209.586/209.920/0.538 ms
14/07/01-10:55:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.284/209.582/210.142/0.657 ms
14/07/01-10:57:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.267/209.439/209.639/0.315 ms
14/07/01-10:59:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 209.361/209.423/209.536/0.413 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.884/211.467/215.533/2.149 ms
14/07/01-11:02:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.272/209.818/210.995/0.732 ms
14/07/01-11:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.401/210.103/212.002/1.127 ms
14/07/01-11:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.346/209.470/209.693/0.523 ms
14/07/01-11:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.337/209.465/209.578/0.300 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.145/209.424/209.820/0.557 ms
14/07/01-11:11:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.239/209.419/209.603/0.435 ms
14/07/01-11:12:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.340/209.667/210.014/0.562 ms
14/07/01-11:14:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.237/209.473/209.657/0.525 ms
14/07/01-11:16:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.285/209.867/211.250/0.706 ms
14/07/01-11:17:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.386/209.581/209.794/0.605 ms
14/07/01-11:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.250/209.492/209.694/0.600 ms
14/07/01-11:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.364/209.513/209.734/0.591 ms
14/07/01-11:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.302/209.395/209.531/0.585 ms
14/07/01-11:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.212/209.509/209.678/0.605 ms
14/07/01-11:26:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.399/209.591/209.900/0.446 ms
14/07/01-11:27:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.357/209.461/209.546/0.506 ms
14/07/01-11:29:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.261/209.551/209.780/0.344 ms
14/07/01-11:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.391/209.460/209.496/0.580 ms
14/07/01-11:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.444/209.561/209.643/0.506 ms
14/07/01-11:34:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.295/209.559/209.915/0.458 ms
14/07/01-11:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.324/209.598/209.916/0.458 ms
14/07/01-11:37:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.295/209.385/209.483/0.078 ms
14/07/01-11:39:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.387/209.824/210.718/0.689 ms
14/07/01-11:41:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.387/209.626/210.156/0.283 ms
14/07/01-11:43:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.216/209.447/209.601/0.430 ms
14/07/01-11:44:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.311/209.388/209.456/0.049 ms
14/07/01-11:46:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 209.326/209.480/209.767/0.599 ms
14/07/01-11:48:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 209.313/209.451/209.631/0.514 ms
14/07/01-11:49:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.286/209.379/209.468/0.063 ms
14/07/01-11:51:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.299/209.461/209.893/0.619 ms
14/07/01-11:53:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.323/209.505/209.667/0.124 ms
14/07/01-11:54:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.350/209.420/209.471/0.580 ms
14/07/01-11:56:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.266/209.462/209.911/0.473 ms
