14/07/01-09:56:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 224.035/224.348/224.648/0.648 ms
14/07/01-09:58:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.816/224.041/224.653/0.603 ms
14/07/01-10:00:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.882/224.146/224.602/0.581 ms
14/07/01-10:02:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.820/223.966/224.129/0.607 ms
14/07/01-10:03:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 224.100/224.877/227.792/1.458 ms
14/07/01-10:05:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.684/223.974/224.222/0.191 ms
14/07/01-10:07:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.857/224.596/226.696/1.118 ms
14/07/01-10:08:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.729/223.907/224.029/0.437 ms
14/07/01-10:10:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.838/224.111/224.609/0.404 ms
14/07/01-10:12:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 224.003/224.069/224.178/0.063 ms
14/07/01-10:13:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 223.999/224.231/224.799/0.596 ms
14/07/01-10:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.779/224.016/224.303/0.199 ms
14/07/01-10:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.810/224.973/227.870/1.584 ms
