14/07/01-09:56:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.298/246.559/255.460/10.765 ms
14/07/01-09:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.317/242.124/255.389/10.777 ms
14/07/01-10:00:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.164/246.481/255.543/10.851 ms
14/07/01-10:01:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.086/237.755/255.184/8.737 ms
14/07/01-10:03:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.116/246.494/255.458/10.941 ms
14/07/01-10:05:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.281/237.703/255.159/8.738 ms
14/07/01-10:06:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.746/247.652/259.314/11.409 ms
14/07/01-10:08:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.054/237.797/255.413/8.815 ms
14/07/01-10:10:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.064/246.394/255.503/10.881 ms
14/07/01-10:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.059/247.604/259.806/11.861 ms
14/07/01-10:13:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.082/237.905/256.329/9.213 ms
14/07/01-10:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.091/242.022/255.414/10.831 ms
14/07/01-10:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.080/237.623/255.402/8.895 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.311/251.021/255.667/8.856 ms
14/07/01-10:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.079/246.433/255.422/10.825 ms
14/07/01-10:22:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.171/255.675/256.469/0.433 ms
14/07/01-10:23:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.170/242.304/255.494/10.674 ms
14/07/01-10:25:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.313/251.210/256.343/8.960 ms
14/07/01-10:27:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.276/242.243/255.824/10.876 ms
14/07/01-10:28:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.102/242.052/255.344/10.792 ms
14/07/01-10:30:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.035/246.551/255.567/10.876 ms
14/07/01-10:32:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.019/242.271/255.538/10.785 ms
14/07/01-10:33:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.148/246.561/255.818/10.926 ms
14/07/01-10:35:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 233.401/243.512/256.363/10.298 ms
14/07/01-10:37:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.099/242.461/256.930/11.244 ms
14/07/01-10:38:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.124/251.223/256.356/9.067 ms
14/07/01-10:40:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.050/246.554/256.021/11.015 ms
14/07/01-10:42:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.021/242.009/255.412/10.869 ms
14/07/01-10:43:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.318/246.554/255.426/10.797 ms
14/07/01-10:45:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.175/246.560/255.688/10.888 ms
14/07/01-10:47:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.036/250.768/255.325/8.866 ms
14/07/01-10:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.009/237.533/255.132/8.810 ms
14/07/01-10:50:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.047/246.397/255.410/10.901 ms
14/07/01-10:52:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.042/237.628/255.227/8.821 ms
14/07/01-10:54:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.064/237.739/255.791/9.036 ms
14/07/01-10:55:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.088/237.658/255.169/8.757 ms
14/07/01-10:57:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.154/255.262/255.527/0.653 ms
14/07/01-10:59:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.270/246.502/255.519/10.812 ms
14/07/01-11:00:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.106/242.034/255.271/10.771 ms
14/07/01-11:02:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.099/242.018/255.343/10.844 ms
14/07/01-11:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.051/242.131/255.253/10.678 ms
14/07/01-11:05:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.104/242.120/255.399/10.849 ms
14/07/01-11:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.018/233.578/235.125/0.841 ms
14/07/01-11:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.138/255.323/255.509/0.570 ms
14/07/01-11:10:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.298/250.814/255.318/8.758 ms
14/07/01-11:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.035/246.838/257.279/11.186 ms
14/07/01-11:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.288/242.218/255.450/10.799 ms
14/07/01-11:15:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.281/251.112/256.219/8.922 ms
14/07/01-11:17:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.107/242.041/255.362/10.824 ms
14/07/01-11:19:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.129/250.788/255.261/8.846 ms
14/07/01-11:20:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 232.865/250.926/255.539/9.030 ms
14/07/01-11:22:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.059/242.256/255.468/10.703 ms
14/07/01-11:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.420/250.963/255.437/8.783 ms
14/07/01-11:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.141/246.480/255.485/10.829 ms
14/07/01-11:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.140/255.329/255.483/0.347 ms
14/07/01-11:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.265/250.922/255.501/8.840 ms
14/07/01-11:31:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.316/246.581/255.412/10.724 ms
14/07/01-11:32:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.039/242.081/255.472/10.925 ms
14/07/01-11:34:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.025/242.340/255.536/10.642 ms
14/07/01-11:36:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.125/246.476/255.397/10.839 ms
14/07/01-11:37:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.248/250.978/255.591/8.877 ms
14/07/01-11:39:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.126/246.552/255.589/10.889 ms
14/07/01-11:41:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.038/246.602/255.835/11.039 ms
14/07/01-11:42:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.092/242.399/255.476/10.571 ms
14/07/01-11:44:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.320/250.954/255.454/8.840 ms
14/07/01-11:46:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.108/242.159/255.700/11.034 ms
14/07/01-11:47:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.078/242.049/255.425/10.828 ms
14/07/01-11:49:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.177/246.676/255.976/10.991 ms
14/07/01-11:51:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.085/242.226/256.341/11.178 ms
14/07/01-11:52:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.004/237.623/255.637/9.018 ms
14/07/01-11:54:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.038/242.105/255.508/10.951 ms
14/07/01-11:56:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.067/250.950/255.653/8.948 ms
14/07/01-11:57:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.008/242.038/255.596/10.933 ms
14/07/01-11:59:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.975/242.023/255.424/10.936 ms
14/07/01-12:01:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.216/242.123/255.507/10.812 ms
14/07/01-12:03:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.066/251.094/256.132/9.041 ms
14/07/01-12:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.027/238.106/257.755/9.839 ms
14/07/01-12:06:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.144/255.436/255.929/0.614 ms
14/07/01-12:08:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.051/242.063/255.384/10.842 ms
14/07/01-12:10:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 255.223/255.305/255.409/0.557 ms
14/07/01-12:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.097/242.075/255.448/10.888 ms
14/07/01-12:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.059/242.082/255.472/10.816 ms
14/07/01-12:16:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.091/233.208/233.362/0.325 ms
14/07/01-12:17:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.085/237.702/255.581/8.960 ms
14/07/01-12:19:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.036/242.012/255.382/10.838 ms
14/07/01-12:21:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.033/246.572/255.696/10.980 ms
14/07/01-12:23:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.198/250.885/255.593/8.844 ms
14/07/01-12:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.353/250.974/255.516/8.828 ms
14/07/01-12:27:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.285/237.736/255.454/8.864 ms
14/07/01-12:28:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.278/242.137/255.423/10.769 ms
14/07/01-12:30:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.323/246.865/256.496/11.009 ms
14/07/01-12:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.019/246.529/255.317/10.754 ms
14/07/01-12:34:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.114/233.250/233.373/0.316 ms
14/07/01-12:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.134/242.058/255.435/10.826 ms
14/07/01-12:38:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 233.040/242.086/255.552/10.938 ms
14/07/01-12:39:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.419/251.549/257.684/9.121 ms
14/07/01-12:41:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.117/252.167/257.509/9.061 ms
14/07/01-12:43:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.042/246.397/255.279/10.819 ms
14/07/01-12:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.242/246.580/255.585/10.843 ms
14/07/01-12:47:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.040/233.188/233.297/0.119 ms
14/07/01-12:49:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.002/237.561/255.406/8.933 ms
14/07/01-12:51:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 255.544/255.963/257.482/0.825 ms
14/07/01-12:52:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.386/247.003/257.591/11.145 ms
14/07/01-12:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.026/242.140/255.825/11.038 ms
14/07/01-12:56:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.284/251.173/256.680/8.966 ms
14/07/01-12:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.039/250.966/255.499/8.974 ms
14/07/01-13:00:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.046/242.019/255.213/10.721 ms
14/07/01-13:01:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.105/237.843/255.389/8.786 ms
14/07/01-13:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.985/237.517/255.201/8.853 ms
14/07/01-13:05:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.085/250.977/255.537/8.963 ms
14/07/01-13:06:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.334/246.679/255.518/10.700 ms
14/07/01-13:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.257/251.069/256.035/8.910 ms
14/07/01-13:10:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.141/246.451/255.440/10.840 ms
14/07/01-13:11:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.052/246.946/256.410/11.182 ms
14/07/01-13:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.348/246.468/255.287/10.714 ms
14/07/01-13:15:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 233.328/246.502/255.479/10.752 ms
14/07/01-13:17:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.282/246.531/255.379/10.806 ms
14/07/01-13:18:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 232.966/246.300/255.200/10.873 ms
14/07/01-13:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.040/242.321/255.415/10.588 ms
14/07/01-13:22:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.075/241.998/255.552/10.915 ms
14/07/01-13:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 235.500/251.475/255.606/8.013 ms
14/07/01-13:25:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.047/237.633/255.453/8.921 ms
14/07/01-13:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.045/251.358/257.403/9.187 ms
14/07/01-13:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.288/246.515/255.473/10.780 ms
14/07/01-13:30:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.291/246.604/255.850/10.795 ms
14/07/01-13:32:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.128/250.916/255.487/8.911 ms
14/07/01-13:33:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.122/242.038/255.396/10.836 ms
14/07/01-13:35:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.114/246.665/255.815/10.912 ms
14/07/01-13:37:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.042/237.619/255.155/8.790 ms
14/07/01-13:38:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.376/246.627/255.613/10.782 ms
14/07/01-13:40:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.355/246.595/255.512/10.789 ms
14/07/01-13:42:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.037/246.752/255.459/10.629 ms
14/07/01-13:43:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.109/246.524/255.696/10.919 ms
14/07/01-13:45:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.017/255.248/255.488/0.362 ms
14/07/01-13:47:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.060/237.564/255.166/8.806 ms
14/07/01-13:48:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.263/242.209/255.604/10.892 ms
14/07/01-13:50:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.097/242.127/255.648/10.969 ms
14/07/01-13:52:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.308/242.649/255.429/10.371 ms
14/07/01-13:53:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 233.387/246.632/255.500/10.808 ms
14/07/01-13:55:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.119/246.540/255.438/10.849 ms
14/07/01-13:57:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 232.968/242.003/255.478/10.874 ms
14/07/01-13:59:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.162/251.087/256.322/8.977 ms
14/07/01-14:00:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.059/237.697/255.472/8.909 ms
14/07/01-14:02:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.320/251.265/257.072/9.010 ms
14/07/01-14:04:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.088/242.124/255.436/10.774 ms
14/07/01-14:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.251/247.206/258.584/11.427 ms
14/07/01-14:07:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.117/237.679/255.355/8.838 ms
14/07/01-14:09:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.046/246.470/255.393/10.874 ms
14/07/01-14:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.059/233.270/233.734/0.494 ms
14/07/01-14:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.105/237.605/255.147/8.777 ms
