14/07/01-09:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.841/311.885/311.918/0.707 ms
14/07/01-09:57:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.809/311.909/312.094/0.509 ms
14/07/01-09:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.867/311.905/311.971/0.035 ms
14/07/01-10:00:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.831/311.871/311.949/0.613 ms
14/07/01-10:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.816/312.148/313.246/0.895 ms
14/07/01-10:03:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.860/311.900/312.012/0.357 ms
14/07/01-10:05:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.881/312.291/313.794/0.902 ms
14/07/01-10:07:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.822/311.851/311.907/0.030 ms
14/07/01-10:09:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.796/311.851/311.917/0.501 ms
14/07/01-10:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.780/311.872/312.008/0.711 ms
14/07/01-10:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.819/311.912/311.953/0.708 ms
14/07/01-10:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.870/311.901/311.951/0.707 ms
14/07/01-10:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.851/311.907/312.063/0.616 ms
14/07/01-10:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.850/311.962/312.285/0.389 ms
14/07/01-10:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.824/311.878/311.968/0.050 ms
14/07/01-10:20:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.874/312.097/312.935/0.821 ms
