14/07/01-09:56:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.127/145.854/146.795/1.456 ms
14/07/01-09:58:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.108/145.279/146.770/1.793 ms
14/07/01-09:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.213/145.830/146.762/1.406 ms
14/07/01-10:01:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 143.190/144.547/146.777/1.655 ms
14/07/01-10:03:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.236/146.544/146.812/0.543 ms
14/07/01-10:04:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.203/144.616/146.886/1.719 ms
14/07/01-10:06:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.151/145.193/146.810/1.722 ms
14/07/01-10:08:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.324/145.802/146.654/1.269 ms
14/07/01-10:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.431/145.313/146.685/1.538 ms
14/07/01-10:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.046/144.588/146.751/1.793 ms
14/07/01-10:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.145/144.656/146.515/1.518 ms
14/07/01-10:14:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.245/145.204/146.684/1.656 ms
14/07/01-10:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.241/146.111/148.091/1.631 ms
14/07/01-10:18:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.172/145.897/146.741/1.371 ms
14/07/01-10:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.242/145.884/146.873/1.410 ms
14/07/01-10:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.339/145.230/146.671/1.548 ms
14/07/01-10:23:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 143.154/144.102/146.661/1.402 ms
14/07/01-10:25:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 143.181/145.713/146.623/1.341 ms
14/07/01-10:26:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.140/144.660/146.798/1.690 ms
14/07/01-10:28:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.089/146.098/148.111/1.669 ms
14/07/01-10:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.482/146.312/146.790/0.668 ms
14/07/01-10:31:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.125/145.112/146.690/1.596 ms
14/07/01-10:33:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.102/144.536/146.635/1.736 ms
14/07/01-10:35:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.155/144.533/146.693/1.615 ms
14/07/01-10:36:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.573/145.750/146.378/1.167 ms
14/07/01-10:38:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.293/146.495/146.622/0.120 ms
14/07/01-10:40:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.146/145.823/146.639/1.428 ms
14/07/01-10:41:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.215/144.681/146.609/1.389 ms
14/07/01-10:43:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.092/145.191/146.720/1.745 ms
14/07/01-10:45:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.148/145.986/146.806/1.481 ms
14/07/01-10:46:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.214/146.387/146.624/0.509 ms
14/07/01-10:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.062/145.245/146.852/1.703 ms
14/07/01-10:50:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.186/145.605/148.115/2.049 ms
14/07/01-10:51:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.234/145.824/146.725/1.397 ms
14/07/01-10:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.461/146.040/147.041/1.354 ms
14/07/01-10:55:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.160/145.157/146.669/1.626 ms
14/07/01-10:56:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.257/145.783/146.963/1.294 ms
14/07/01-10:58:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 143.138/144.531/146.834/1.712 ms
14/07/01-11:00:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.166/145.857/146.693/1.396 ms
14/07/01-11:01:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 143.780/146.062/146.857/1.183 ms
14/07/01-11:03:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.218/146.331/146.698/0.458 ms
14/07/01-11:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.188/145.809/146.717/1.366 ms
14/07/01-11:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.153/145.327/147.307/1.851 ms
14/07/01-11:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.319/145.872/146.629/1.347 ms
14/07/01-11:10:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.303/146.587/146.901/0.466 ms
14/07/01-11:12:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.822/145.853/146.727/1.088 ms
14/07/01-11:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 143.051/145.741/146.808/1.404 ms
14/07/01-11:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.170/145.167/146.635/1.648 ms
14/07/01-11:17:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 143.078/144.491/146.768/1.744 ms
14/07/01-11:18:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.130/145.099/146.722/1.633 ms
14/07/01-11:20:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.125/145.088/146.639/1.592 ms
