14/07/01-09:58:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.339/177.595/177.767/0.407 ms
14/07/01-09:59:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.501/177.568/177.728/0.385 ms
14/07/01-10:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.567/177.636/177.730/0.381 ms
14/07/01-10:02:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.398/180.516/180.702/0.478 ms
14/07/01-10:04:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.417/180.552/180.712/0.296 ms
14/07/01-10:06:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.501/180.598/180.739/0.390 ms
14/07/01-10:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.367/180.584/180.748/0.142 ms
14/07/01-10:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.363/180.488/180.615/0.545 ms
14/07/01-10:11:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.430/180.610/180.737/0.292 ms
14/07/01-10:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.386/180.537/180.670/0.098 ms
14/07/01-10:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.455/180.595/180.701/0.287 ms
14/07/01-10:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.439/180.629/180.745/0.290 ms
14/07/01-10:17:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.370/180.537/180.707/0.480 ms
14/07/01-10:19:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.420/180.588/180.762/0.484 ms
14/07/01-10:21:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.315/180.560/180.815/0.314 ms
14/07/01-10:22:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.430/180.594/180.715/0.103 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.333/180.544/180.661/0.114 ms
14/07/01-10:25:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.399/180.601/180.746/0.478 ms
14/07/01-10:27:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.520/180.664/180.868/0.399 ms
14/07/01-10:29:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.406/180.582/180.716/0.550 ms
14/07/01-10:30:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.495/180.617/180.685/0.470 ms
14/07/01-10:32:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.464/180.668/180.924/0.196 ms
14/07/01-10:34:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 180.525/181.045/181.908/0.708 ms
14/07/01-10:35:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.512/180.672/180.818/0.397 ms
14/07/01-10:37:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.433/180.591/180.805/0.302 ms
14/07/01-10:39:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.408/180.529/180.708/0.287 ms
14/07/01-10:40:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.246/177.408/177.505/0.093 ms
14/07/01-10:42:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.422/177.516/177.710/0.543 ms
14/07/01-10:43:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.397/177.549/177.784/0.147 ms
14/07/01-10:45:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.487/177.635/177.792/0.543 ms
14/07/01-10:47:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 178.778/178.872/179.043/0.388 ms
14/07/01-10:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.651/177.738/177.854/0.538 ms
14/07/01-10:50:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.557/177.713/177.893/0.392 ms
14/07/01-10:52:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.477/177.623/177.768/0.094 ms
14/07/01-10:53:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.725/178.656/178.978/0.470 ms
14/07/01-10:55:33 - 5 packets transmitted, 4 received, 20% packet loss, time 4007ms rtt min/avg/max/mdev = 178.688/178.833/178.930/0.432 ms
14/07/01-10:57:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.568/177.667/177.718/0.535 ms
14/07/01-10:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.492/177.626/177.748/0.386 ms
14/07/01-11:00:36 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 178.796/178.872/178.901/0.302 ms
14/07/01-11:02:19 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 178.825/178.959/179.103/0.315 ms
14/07/01-11:04:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 178.735/178.980/179.112/0.550 ms
14/07/01-11:05:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.487/177.597/177.727/0.107 ms
14/07/01-11:07:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.583/178.242/179.135/0.663 ms
14/07/01-11:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.658/178.592/178.983/0.664 ms
14/07/01-11:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 178.732/178.814/178.943/0.539 ms
14/07/01-11:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.530/177.615/177.757/0.385 ms
14/07/01-11:14:14 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 178.798/178.931/179.065/0.314 ms
14/07/01-11:15:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.552/177.699/177.832/0.475 ms
14/07/01-11:17:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.564/177.727/177.806/0.540 ms
14/07/01-11:19:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.580/177.689/177.842/0.387 ms
