14/07/01-09:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 49.998/50.068/50.203/0.074 ms
14/07/01-09:58:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.103/50.129/50.161/0.201 ms
14/07/01-09:59:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.035/50.113/50.246/0.070 ms
14/07/01-10:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.099/50.197/50.426/0.307 ms
14/07/01-10:03:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.084/50.269/50.545/0.270 ms
14/07/01-10:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 49.980/50.097/50.249/0.166 ms
14/07/01-10:06:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.104/50.138/50.197/0.034 ms
14/07/01-10:08:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.113/50.184/50.287/0.155 ms
14/07/01-10:09:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 50.026/50.062/50.094/0.143 ms
14/07/01-10:11:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.959/50.145/50.545/0.320 ms
14/07/01-10:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.062/50.190/50.313/0.225 ms
14/07/01-10:14:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.070/50.135/50.174/0.248 ms
14/07/01-10:16:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.010/50.200/50.540/0.236 ms
