14/07/01-09:57:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.059/137.284/137.787/0.539 ms
14/07/01-09:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.098/137.300/137.639/0.506 ms
14/07/01-10:01:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.077/137.290/137.520/0.361 ms
14/07/01-10:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.045/137.166/137.346/0.417 ms
14/07/01-10:04:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 137.102/137.195/137.321/0.246 ms
14/07/01-10:05:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.062/137.417/137.650/0.528 ms
14/07/01-10:07:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.054/137.325/137.675/0.475 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.089/137.138/137.192/0.037 ms
14/07/01-10:10:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.073/137.331/137.609/0.322 ms
14/07/01-10:12:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 137.043/137.264/137.636/0.312 ms
14/07/01-10:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.042/137.267/137.594/0.314 ms
14/07/01-10:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.074/137.484/137.860/0.485 ms
14/07/01-10:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.083/137.298/137.514/0.497 ms
14/07/01-10:19:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.055/137.321/137.548/0.183 ms
14/07/01-10:20:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.212/137.520/137.711/0.210 ms
14/07/01-10:22:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.026/137.263/137.496/0.441 ms
14/07/01-10:23:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.091/137.393/138.010/0.395 ms
14/07/01-10:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.231/137.324/137.523/0.103 ms
14/07/01-10:27:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.070/137.291/137.621/0.186 ms
14/07/01-10:28:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.076/137.400/137.517/0.437 ms
14/07/01-10:30:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.112/137.796/138.790/0.655 ms
14/07/01-10:32:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 137.268/137.531/137.885/0.459 ms
14/07/01-10:33:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.096/137.394/138.127/0.598 ms
14/07/01-10:35:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.046/137.280/137.544/0.513 ms
14/07/01-10:37:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.288/137.519/137.919/0.347 ms
14/07/01-10:38:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.026/137.350/137.936/0.525 ms
14/07/01-10:40:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.082/137.493/138.199/0.448 ms
14/07/01-10:42:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.991/137.437/138.223/0.628 ms
14/07/01-10:43:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.008/137.644/138.054/0.382 ms
14/07/01-10:45:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.066/137.262/137.562/0.369 ms
14/07/01-10:46:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.104/137.302/137.564/0.435 ms
14/07/01-10:48:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.081/137.566/137.925/0.543 ms
14/07/01-10:50:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.051/137.229/137.566/0.377 ms
14/07/01-10:51:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.088/137.316/137.711/0.517 ms
14/07/01-10:53:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.449/138.575/138.916/0.174 ms
14/07/01-10:55:12 - 5 packets transmitted, 3 received, 40% packet loss, time 4018ms rtt min/avg/max/mdev = 137.340/138.182/138.740/0.677 ms
14/07/01-10:56:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.162/137.535/138.349/0.598 ms
14/07/01-10:58:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 137.172/137.473/138.247/0.612 ms
14/07/01-11:00:14 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 138.363/138.570/138.749/0.170 ms
14/07/01-11:01:58 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 138.374/138.523/138.669/0.475 ms
