14/07/01-09:56:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.550/42.564/42.584/0.012 ms
14/07/01-09:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.491/42.535/42.586/0.030 ms
14/07/01-10:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.526/42.602/42.694/0.141 ms
14/07/01-10:01:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.558/42.589/42.611/0.131 ms
14/07/01-10:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.538/42.581/42.601/0.185 ms
14/07/01-10:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.512/42.551/42.602/0.262 ms
14/07/01-10:06:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.557/42.583/42.625/0.262 ms
14/07/01-10:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.575/42.606/42.632/0.185 ms
14/07/01-10:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 42.583/42.601/42.614/0.014 ms
14/07/01-10:11:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.529/42.586/42.652/0.264 ms
14/07/01-10:13:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.540/42.577/42.621/0.186 ms
14/07/01-10:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.575/42.593/42.622/0.185 ms
14/07/01-10:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.563/42.593/42.632/0.262 ms
14/07/01-10:18:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.561/42.602/42.633/0.132 ms
14/07/01-10:19:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 42.489/42.518/42.545/0.227 ms
14/07/01-10:21:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 42.562/42.612/42.676/0.230 ms
14/07/01-10:23:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.518/42.541/42.559/0.014 ms
14/07/01-10:24:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.550/42.586/42.638/0.186 ms
14/07/01-10:26:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.505/42.588/42.635/0.230 ms
14/07/01-10:27:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.529/42.583/42.655/0.264 ms
14/07/01-10:29:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.520/42.545/42.580/0.261 ms
14/07/01-10:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.537/42.689/43.171/0.304 ms
14/07/01-10:32:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.532/42.566/42.595/0.022 ms
14/07/01-10:34:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.560/42.603/42.650/0.263 ms
14/07/01-10:36:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.561/42.585/42.610/0.185 ms
14/07/01-10:37:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.474/42.561/42.655/0.236 ms
14/07/01-10:39:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.518/42.570/42.597/0.133 ms
14/07/01-10:41:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 42.536/42.594/42.676/0.139 ms
14/07/01-10:42:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.550/42.576/42.621/0.132 ms
14/07/01-10:44:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.545/42.575/42.606/0.185 ms
14/07/01-10:45:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.554/42.571/42.610/0.185 ms
14/07/01-10:47:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.561/42.605/42.655/0.228 ms
14/07/01-10:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.556/42.607/42.701/0.140 ms
14/07/01-10:50:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.593/42.622/42.657/0.022 ms
14/07/01-10:52:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.812/43.863/43.900/0.034 ms
14/07/01-10:54:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.813/43.850/43.893/0.135 ms
14/07/01-10:55:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.737/43.873/44.060/0.286 ms
14/07/01-10:57:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.560/42.588/42.635/0.227 ms
14/07/01-10:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 42.461/42.553/42.610/0.050 ms
14/07/01-11:00:58 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 42.539/42.577/42.636/0.035 ms
14/07/01-11:02:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 42.617/43.594/43.882/0.524 ms
14/07/01-11:04:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.818/43.858/43.893/0.189 ms
14/07/01-11:06:02 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 43.799/43.845/43.934/0.157 ms
14/07/01-11:07:46 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 43.827/43.841/43.853/0.209 ms
14/07/01-11:09:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.520/42.574/42.604/0.187 ms
14/07/01-11:11:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.806/43.862/43.984/0.197 ms
14/07/01-11:12:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.520/42.577/42.619/0.228 ms
14/07/01-11:14:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.534/42.564/42.579/0.016 ms
14/07/01-11:16:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.578/42.602/42.630/0.226 ms
14/07/01-11:17:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.552/42.576/42.612/0.020 ms
14/07/01-11:19:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.529/42.566/42.590/0.226 ms
14/07/01-11:21:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.531/42.538/42.545/0.225 ms
14/07/01-11:22:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.552/42.591/42.612/0.186 ms
14/07/01-11:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 42.522/42.553/42.592/0.227 ms
14/07/01-11:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.521/42.616/42.894/0.266 ms
14/07/01-11:27:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.510/54.060/55.350/1.258 ms
14/07/01-11:29:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.410/52.457/52.502/0.291 ms
14/07/01-11:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 52.463/52.523/52.577/0.209 ms
14/07/01-11:32:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 52.506/52.548/52.581/0.291 ms
14/07/01-11:34:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.471/52.490/52.506/0.251 ms
14/07/01-11:36:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 52.470/52.555/52.640/0.212 ms
14/07/01-11:37:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.466/52.511/52.557/0.291 ms
14/07/01-11:39:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.451/52.520/52.637/0.063 ms
14/07/01-11:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.523/52.566/52.633/0.209 ms
