14/07/01-09:57:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 324.662/338.101/342.644/6.900 ms
14/07/01-09:58:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.180/342.676/345.409/2.745 ms
14/07/01-10:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 329.439/340.426/345.326/5.645 ms
14/07/01-10:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.430/340.983/342.721/1.983 ms
14/07/01-10:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 334.243/337.823/339.403/1.967 ms
14/07/01-10:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.391/343.639/346.620/2.948 ms
14/07/01-10:07:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 328.943/337.317/342.537/4.549 ms
14/07/01-10:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 324.749/338.052/342.410/6.817 ms
14/07/01-10:10:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.044/340.251/342.593/1.958 ms
14/07/01-10:11:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 329.194/341.180/347.303/6.792 ms
14/07/01-10:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.002/343.628/346.953/3.228 ms
14/07/01-10:15:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 329.211/340.169/345.555/6.102 ms
14/07/01-10:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 334.302/339.196/342.806/3.157 ms
14/07/01-10:18:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.569/341.540/345.290/2.637 ms
14/07/01-10:20:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.428/343.887/346.884/3.187 ms
14/07/01-10:21:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 329.244/337.422/342.871/6.397 ms
14/07/01-10:23:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 334.382/340.441/345.049/4.043 ms
14/07/01-10:25:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 325.239/339.276/351.301/8.438 ms
14/07/01-10:26:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.448/340.179/346.074/6.455 ms
14/07/01-10:28:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 329.167/336.607/342.651/4.519 ms
14/07/01-10:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 329.305/337.591/345.259/7.003 ms
14/07/01-10:31:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.627/342.856/345.497/2.552 ms
14/07/01-10:33:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.226/340.838/346.289/3.188 ms
14/07/01-10:34:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 324.895/336.333/342.631/7.735 ms
14/07/01-10:36:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 324.314/334.714/342.363/6.505 ms
14/07/01-10:38:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.284/341.809/345.462/2.881 ms
14/07/01-10:39:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 330.703/341.192/345.182/5.415 ms
14/07/01-10:41:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 325.071/337.710/345.427/7.535 ms
14/07/01-10:43:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.515/342.870/345.364/2.541 ms
