14/07/01-09:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.808/275.872/275.986/0.474 ms
14/07/01-09:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.853/275.880/275.943/0.576 ms
14/07/01-10:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.799/275.856/275.906/0.577 ms
14/07/01-10:02:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.800/275.838/275.872/0.332 ms
14/07/01-10:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.816/275.892/276.066/0.670 ms
14/07/01-10:05:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.870/275.891/275.905/0.664 ms
14/07/01-10:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.813/275.881/275.940/0.666 ms
14/07/01-10:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.833/275.858/275.875/0.470 ms
14/07/01-10:10:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.823/275.856/275.900/0.664 ms
14/07/01-10:12:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.700/276.340/277.488/0.685 ms
14/07/01-10:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 276.001/276.426/277.207/0.494 ms
14/07/01-10:15:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.827/275.888/275.959/0.048 ms
14/07/01-10:17:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.739/275.836/275.881/0.472 ms
14/07/01-10:18:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.812/275.861/275.909/0.470 ms
14/07/01-10:20:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.778/275.855/275.893/0.665 ms
14/07/01-10:22:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.757/276.806/278.496/1.214 ms
14/07/01-10:23:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.814/275.864/275.936/0.665 ms
14/07/01-10:25:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.854/275.942/276.220/0.360 ms
14/07/01-10:27:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.755/275.851/275.922/0.577 ms
14/07/01-10:28:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.802/275.862/276.020/0.341 ms
14/07/01-10:30:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 275.806/276.191/277.462/0.858 ms
14/07/01-10:31:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.819/276.001/276.655/0.327 ms
14/07/01-10:33:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 275.741/275.825/275.858/0.471 ms
14/07/01-10:35:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.831/275.854/275.901/0.664 ms
14/07/01-10:36:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.736/275.844/275.927/0.338 ms
