14/07/01-09:56:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 85.855/85.914/85.945/0.372 ms
14/07/01-09:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.760/85.841/85.902/0.373 ms
14/07/01-10:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.727/85.908/86.157/0.395 ms
14/07/01-10:01:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.816/85.876/85.930/0.324 ms
14/07/01-10:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.817/85.857/85.922/0.040 ms
14/07/01-10:05:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.658/85.773/85.857/0.270 ms
14/07/01-10:06:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.715/85.843/85.899/0.270 ms
14/07/01-10:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.753/85.850/85.927/0.376 ms
14/07/01-10:10:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.832/85.858/85.871/0.321 ms
14/07/01-10:11:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.717/85.789/85.888/0.269 ms
14/07/01-10:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.741/85.806/85.837/0.264 ms
14/07/01-10:14:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 85.834/85.876/85.908/0.321 ms
14/07/01-10:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.878/85.896/85.934/0.262 ms
14/07/01-10:18:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.691/85.737/85.809/0.189 ms
14/07/01-10:19:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.813/85.855/85.906/0.323 ms
14/07/01-10:21:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.662/85.828/85.916/0.380 ms
14/07/01-10:23:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.676/85.786/85.907/0.280 ms
14/07/01-10:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 85.869/85.897/85.921/0.262 ms
14/07/01-10:26:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.792/85.847/85.919/0.191 ms
14/07/01-10:28:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.759/85.848/85.928/0.267 ms
14/07/01-10:29:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.665/85.815/85.929/0.208 ms
14/07/01-10:31:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.767/85.852/85.926/0.376 ms
14/07/01-10:33:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.807/85.880/85.953/0.191 ms
14/07/01-10:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.831/85.857/85.894/0.371 ms
14/07/01-10:36:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.795/85.887/86.093/0.339 ms
14/07/01-10:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.711/85.821/85.894/0.327 ms
14/07/01-10:39:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.798/85.853/85.891/0.264 ms
14/07/01-10:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.681/85.815/85.959/0.206 ms
14/07/01-10:42:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.686/85.773/85.892/0.202 ms
14/07/01-10:44:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.672/85.832/85.897/0.331 ms
14/07/01-10:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.698/85.772/85.811/0.323 ms
14/07/01-10:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.743/85.793/85.831/0.371 ms
14/07/01-10:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.709/85.802/85.849/0.266 ms
14/07/01-10:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.623/85.752/85.884/0.094 ms
14/07/01-10:52:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.748/85.825/85.895/0.048 ms
14/07/01-10:54:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.802/85.839/85.901/0.037 ms
14/07/01-10:56:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.713/85.790/85.866/0.048 ms
14/07/01-10:57:46 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 86.855/87.030/87.132/0.236 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 87.068/87.118/87.178/0.375 ms
14/07/01-11:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 85.775/85.798/85.858/0.371 ms
14/07/01-11:02:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.815/85.857/85.930/0.373 ms
14/07/01-11:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.790/85.848/85.898/0.047 ms
14/07/01-11:06:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.830/85.848/85.871/0.262 ms
14/07/01-11:07:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.654/85.770/85.911/0.283 ms
14/07/01-11:09:40 - 5 packets transmitted, 3 received, 40% packet loss, time 4008ms rtt min/avg/max/mdev = 87.133/87.149/87.167/0.341 ms
14/07/01-11:11:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.675/85.776/85.838/0.268 ms
14/07/01-11:13:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 87.090/87.124/87.165/0.265 ms
14/07/01-11:14:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 87.004/87.135/87.213/0.200 ms
