14/07/01-09:56:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.294/68.445/68.659/0.135 ms
14/07/01-09:58:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.316/68.471/68.610/0.102 ms
14/07/01-09:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.226/68.394/68.484/0.345 ms
14/07/01-10:01:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 68.252/68.383/68.510/0.348 ms
14/07/01-10:03:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.220/68.570/69.377/0.502 ms
14/07/01-10:04:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.316/68.599/69.096/0.273 ms
14/07/01-10:06:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.226/68.471/68.819/0.383 ms
14/07/01-10:08:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.155/68.305/68.477/0.317 ms
14/07/01-10:09:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.180/68.271/68.558/0.219 ms
14/07/01-10:11:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.194/68.333/68.449/0.299 ms
14/07/01-10:13:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.105/68.377/68.617/0.370 ms
14/07/01-10:14:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 68.362/68.431/68.538/0.338 ms
14/07/01-10:16:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.374/68.567/69.186/0.422 ms
14/07/01-10:18:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.077/68.339/68.600/0.373 ms
14/07/01-10:19:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.241/68.395/68.525/0.198 ms
