14/07/01-09:57:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.874/242.928/242.960/0.624 ms
14/07/01-09:59:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.999/243.194/243.444/0.484 ms
14/07/01-10:00:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.940/243.044/243.301/0.556 ms
14/07/01-10:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.879/242.962/243.022/0.051 ms
14/07/01-10:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.938/243.126/243.556/0.586 ms
14/07/01-10:05:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.895/242.942/243.033/0.625 ms
14/07/01-10:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.864/242.925/243.029/0.316 ms
14/07/01-10:08:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.886/242.973/243.086/0.626 ms
14/07/01-10:10:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.882/242.973/243.039/0.444 ms
14/07/01-10:12:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.904/243.014/243.313/0.641 ms
14/07/01-10:13:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.949/243.062/243.301/0.336 ms
14/07/01-10:15:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.934/242.980/243.017/0.313 ms
14/07/01-10:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.898/242.952/243.005/0.624 ms
14/07/01-10:18:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.901/243.059/243.360/0.352 ms
14/07/01-10:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.876/242.941/242.993/0.315 ms
14/07/01-10:22:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.952/242.986/243.065/0.541 ms
14/07/01-10:23:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.880/243.020/243.473/0.585 ms
14/07/01-10:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.910/242.970/243.037/0.625 ms
14/07/01-10:26:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.870/242.991/243.256/0.340 ms
14/07/01-10:28:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.895/243.084/243.303/0.638 ms
14/07/01-10:30:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.954/243.225/243.913/0.645 ms
14/07/01-10:31:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.934/243.092/243.610/0.675 ms
14/07/01-10:33:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 242.914/242.954/242.999/0.032 ms
14/07/01-10:35:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.944/242.988/243.050/0.541 ms
14/07/01-10:36:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.926/243.046/243.232/0.553 ms
14/07/01-10:38:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.856/243.036/243.387/0.570 ms
14/07/01-10:40:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.892/243.071/243.491/0.379 ms
14/07/01-10:41:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.927/243.087/243.636/0.606 ms
14/07/01-10:43:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.867/242.943/243.007/0.047 ms
14/07/01-10:45:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.882/242.964/243.048/0.625 ms
14/07/01-10:46:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.984/243.342/243.895/0.521 ms
14/07/01-10:48:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.913/242.949/243.017/0.036 ms
14/07/01-10:49:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.828/243.064/243.517/0.390 ms
14/07/01-10:51:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 242.873/243.082/243.526/0.593 ms
14/07/01-10:53:15 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 244.125/244.167/244.222/0.037 ms
14/07/01-10:54:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.115/244.467/245.011/0.724 ms
14/07/01-10:56:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.883/242.955/243.128/0.449 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.952/243.060/243.281/0.118 ms
14/07/01-10:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.173/244.285/244.433/0.454 ms
14/07/01-11:01:41 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 244.226/244.356/244.540/0.370 ms
14/07/01-11:03:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.932/243.684/244.241/0.799 ms
14/07/01-11:05:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.828/243.498/244.359/0.910 ms
