14/07/01-09:57:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.661/281.701/281.738/0.475 ms
14/07/01-09:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.635/281.683/281.714/0.336 ms
14/07/01-10:00:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.620/281.663/281.703/0.582 ms
14/07/01-10:02:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.663/281.705/281.780/0.672 ms
14/07/01-10:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.659/281.697/281.735/0.336 ms
14/07/01-10:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.654/281.677/281.689/0.671 ms
14/07/01-10:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.678/281.712/281.730/0.671 ms
14/07/01-10:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.682/282.113/283.618/0.825 ms
14/07/01-10:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.650/281.801/282.248/0.623 ms
14/07/01-10:12:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.628/281.674/281.735/0.337 ms
14/07/01-10:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.722/282.406/283.697/0.886 ms
14/07/01-10:15:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.668/281.694/281.747/0.671 ms
14/07/01-10:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.682/281.703/281.738/0.671 ms
14/07/01-10:18:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.601/281.674/281.716/0.672 ms
14/07/01-10:20:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.662/281.694/281.751/0.030 ms
14/07/01-10:22:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.638/281.665/281.705/0.671 ms
14/07/01-10:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.678/282.446/285.452/1.540 ms
14/07/01-10:25:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.626/281.648/281.700/0.028 ms
14/07/01-10:27:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.613/281.655/281.730/0.672 ms
14/07/01-10:28:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.642/281.666/281.679/0.671 ms
14/07/01-10:30:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.656/281.711/281.800/0.673 ms
14/07/01-10:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.652/281.687/281.729/0.671 ms
14/07/01-10:33:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.651/281.684/281.741/0.582 ms
14/07/01-10:35:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.682/281.715/281.769/0.475 ms
14/07/01-10:37:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.681/281.708/281.737/0.581 ms
14/07/01-10:38:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.560/281.697/281.781/0.481 ms
14/07/01-10:40:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.608/281.722/281.927/0.591 ms
14/07/01-10:41:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.598/281.659/281.720/0.476 ms
14/07/01-10:43:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.655/281.680/281.714/0.671 ms
14/07/01-10:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.665/281.717/281.793/0.338 ms
14/07/01-10:46:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.673/281.714/281.836/0.478 ms
14/07/01-10:48:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.654/281.692/281.705/0.475 ms
14/07/01-10:50:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.590/281.639/281.690/0.037 ms
14/07/01-10:51:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.630/281.685/281.760/0.477 ms
14/07/01-10:53:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.639/281.673/281.732/0.031 ms
14/07/01-10:55:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.670/281.695/281.732/0.475 ms
14/07/01-10:56:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 282.889/282.940/282.984/0.583 ms
14/07/01-10:58:29 - 5 packets transmitted, 4 received, 20% packet loss, time 3999ms rtt min/avg/max/mdev = 282.877/282.940/282.991/0.533 ms
14/07/01-11:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.604/281.670/281.698/0.337 ms
14/07/01-11:01:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.642/281.685/281.763/0.476 ms
14/07/01-11:03:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.641/281.690/281.769/0.338 ms
14/07/01-11:05:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.639/281.664/281.689/0.016 ms
14/07/01-11:06:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.664/281.698/281.740/0.582 ms
14/07/01-11:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.651/281.703/281.735/0.582 ms
14/07/01-11:10:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.659/281.678/281.693/0.335 ms
14/07/01-11:12:05 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 281.684/282.340/282.975/0.635 ms
14/07/01-11:13:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.919/282.938/282.972/0.018 ms
14/07/01-11:15:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 282.825/282.931/282.991/0.585 ms
14/07/01-11:17:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.921/282.960/283.001/0.476 ms
14/07/01-11:18:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.631/281.676/281.709/0.581 ms
14/07/01-11:20:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.662/281.672/281.699/0.581 ms
14/07/01-11:22:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.635/281.664/281.696/0.671 ms
14/07/01-11:23:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.625/281.699/281.865/0.084 ms
14/07/01-11:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.609/281.697/281.768/0.478 ms
14/07/01-11:27:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.669/281.693/281.739/0.475 ms
14/07/01-11:28:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.909/282.951/282.993/0.476 ms
14/07/01-11:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 282.905/283.397/285.145/0.937 ms
14/07/01-11:32:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.664/282.414/282.942/0.838 ms
14/07/01-11:33:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.615/281.660/281.684/0.023 ms
14/07/01-11:35:27 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 282.897/282.945/283.009/0.040 ms
14/07/01-11:37:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 282.911/282.944/282.983/0.673 ms
14/07/01-11:38:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 282.889/282.925/282.957/0.337 ms
14/07/01-11:40:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.695/281.727/281.753/0.336 ms
14/07/01-11:42:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.637/281.687/281.743/0.337 ms
14/07/01-11:43:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.998/283.597/285.348/1.337 ms
14/07/01-11:45:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.641/281.717/281.782/0.477 ms
14/07/01-11:47:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 281.704/282.313/284.221/1.123 ms
14/07/01-11:48:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.627/281.678/281.714/0.672 ms
14/07/01-11:50:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.668/281.724/281.826/0.478 ms
14/07/01-11:51:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.683/281.710/281.750/0.025 ms
14/07/01-11:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.676/281.713/281.753/0.033 ms
14/07/01-11:55:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.674/281.697/281.732/0.581 ms
14/07/01-11:56:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.627/281.709/281.812/0.585 ms
14/07/01-11:58:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.644/281.713/281.808/0.477 ms
14/07/01-12:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.628/281.667/281.737/0.672 ms
14/07/01-12:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.642/281.688/281.743/0.672 ms
14/07/01-12:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.672/281.697/281.731/0.336 ms
14/07/01-12:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.680/281.725/281.781/0.337 ms
14/07/01-12:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.699/281.733/281.758/0.581 ms
14/07/01-12:09:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 281.661/281.690/281.732/0.023 ms
14/07/01-12:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.580/281.712/281.839/0.676 ms
14/07/01-12:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.686/281.745/281.831/0.054 ms
14/07/01-12:14:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.712/281.752/281.789/0.337 ms
14/07/01-12:16:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.630/281.871/282.625/0.506 ms
14/07/01-12:18:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.679/281.700/281.726/0.336 ms
14/07/01-12:20:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.698/281.743/281.806/0.477 ms
