14/07/01-09:57:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.908/66.935/66.955/0.164 ms
14/07/01-09:58:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.906/66.927/66.952/0.019 ms
14/07/01-10:00:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.932/66.966/67.014/0.167 ms
14/07/01-10:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 66.942/66.968/66.994/0.017 ms
14/07/01-10:03:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.914/66.941/66.965/0.327 ms
14/07/01-10:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.966/67.001/67.046/0.165 ms
14/07/01-10:06:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.897/66.924/66.966/0.284 ms
14/07/01-10:08:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 66.918/66.940/66.973/0.327 ms
14/07/01-10:10:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.887/66.947/67.011/0.288 ms
14/07/01-10:11:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.885/66.954/67.016/0.168 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.910/66.942/66.976/0.165 ms
14/07/01-10:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.927/66.962/66.986/0.019 ms
14/07/01-10:16:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 66.969/66.978/66.995/0.231 ms
14/07/01-10:18:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.938/66.961/66.988/0.283 ms
14/07/01-10:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.892/66.947/67.004/0.329 ms
14/07/01-10:21:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 66.918/66.947/66.986/0.023 ms
14/07/01-10:23:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.870/66.919/66.939/0.284 ms
14/07/01-10:24:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.917/66.975/67.019/0.234 ms
14/07/01-10:26:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.918/66.940/66.968/0.284 ms
14/07/01-10:28:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 66.935/66.973/67.023/0.233 ms
14/07/01-10:29:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.932/66.955/67.006/0.284 ms
14/07/01-10:31:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.927/66.955/66.988/0.165 ms
14/07/01-10:33:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 66.902/66.939/66.985/0.328 ms
14/07/01-10:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.937/66.953/66.978/0.327 ms
14/07/01-10:36:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 66.895/66.930/66.961/0.328 ms
14/07/01-10:38:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 66.909/66.958/66.986/0.165 ms
14/07/01-10:39:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.946/66.956/66.964/0.283 ms
