14/07/01-09:57:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.092/146.188/146.339/0.091 ms
14/07/01-09:59:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.088/146.123/146.165/0.484 ms
14/07/01-10:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.996/146.075/146.267/0.097 ms
14/07/01-10:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.959/146.084/146.246/0.493 ms
14/07/01-10:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.949/146.075/146.215/0.256 ms
14/07/01-10:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.035/146.090/146.178/0.485 ms
14/07/01-10:07:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.966/146.064/146.166/0.489 ms
14/07/01-10:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 145.900/145.951/146.014/0.343 ms
14/07/01-10:11:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.882/146.037/146.185/0.264 ms
14/07/01-10:12:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.938/146.011/146.098/0.423 ms
14/07/01-10:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 145.968/146.102/146.218/0.256 ms
14/07/01-10:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.864/146.030/146.139/0.428 ms
14/07/01-10:17:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.971/146.054/146.181/0.070 ms
14/07/01-10:19:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.940/146.112/146.384/0.511 ms
14/07/01-10:20:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4009ms rtt min/avg/max/mdev = 145.966/146.088/146.218/0.352 ms
14/07/01-10:22:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 145.967/146.005/146.033/0.484 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.003/146.125/146.180/0.347 ms
14/07/01-10:25:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.057/146.135/146.183/0.045 ms
