14/07/01-09:57:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.298/161.330/161.362/0.508 ms
14/07/01-09:59:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.305/161.324/161.343/0.254 ms
14/07/01-10:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.298/161.316/161.331/0.254 ms
14/07/01-10:02:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.268/161.309/161.347/0.255 ms
14/07/01-10:04:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.312/161.336/161.355/0.254 ms
14/07/01-10:06:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.317/161.337/161.354/0.359 ms
14/07/01-10:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.281/161.327/161.367/0.509 ms
14/07/01-10:09:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.298/161.324/161.352/0.254 ms
14/07/01-10:11:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.262/161.303/161.345/0.508 ms
14/07/01-10:12:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.302/161.338/161.388/0.029 ms
14/07/01-10:14:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.278/161.327/161.351/0.508 ms
14/07/01-10:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.287/161.326/161.346/0.255 ms
14/07/01-10:17:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.280/161.318/161.340/0.440 ms
14/07/01-10:19:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.296/161.325/161.369/0.440 ms
14/07/01-10:20:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.303/161.319/161.341/0.440 ms
14/07/01-10:22:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.247/161.285/161.347/0.033 ms
14/07/01-10:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.284/161.334/161.364/0.360 ms
14/07/01-10:25:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.254/161.320/161.349/0.360 ms
14/07/01-10:27:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.204/161.289/161.353/0.363 ms
14/07/01-10:29:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.186/161.306/161.345/0.364 ms
14/07/01-10:30:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.280/161.321/161.343/0.440 ms
14/07/01-10:32:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.258/161.301/161.328/0.440 ms
14/07/01-10:33:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.246/161.313/161.389/0.258 ms
14/07/01-10:35:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.297/161.325/161.345/0.440 ms
14/07/01-10:37:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.252/161.313/161.364/0.361 ms
14/07/01-10:38:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.313/161.336/161.365/0.359 ms
14/07/01-10:40:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.288/161.332/161.357/0.360 ms
14/07/01-10:42:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.306/161.335/161.369/0.440 ms
14/07/01-10:43:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.335/161.350/161.362/0.254 ms
14/07/01-10:45:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.296/161.329/161.348/0.508 ms
14/07/01-10:47:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.321/161.349/161.406/0.441 ms
14/07/01-10:48:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.293/161.323/161.350/0.440 ms
14/07/01-10:50:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.213/161.287/161.318/0.361 ms
14/07/01-10:52:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.263/161.310/161.336/0.440 ms
14/07/01-10:53:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.215/161.292/161.344/0.046 ms
14/07/01-10:55:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.280/161.331/161.350/0.026 ms
14/07/01-10:57:03 - 5 packets transmitted, 4 received, 20% packet loss, time 4006ms rtt min/avg/max/mdev = 162.481/162.554/162.589/0.288 ms
14/07/01-10:58:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 162.523/162.557/162.594/0.361 ms
14/07/01-11:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.309/161.333/161.362/0.359 ms
14/07/01-11:02:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 161.310/161.349/161.405/0.031 ms
14/07/01-11:03:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.286/161.322/161.358/0.508 ms
14/07/01-11:05:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.288/161.317/161.339/0.254 ms
14/07/01-11:07:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.327/161.367/161.426/0.033 ms
14/07/01-11:08:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.213/161.294/161.336/0.258 ms
14/07/01-11:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.294/161.328/161.365/0.360 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 162.492/162.555/162.633/0.058 ms
14/07/01-11:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.300/161.326/161.359/0.508 ms
14/07/01-11:15:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 162.560/162.582/162.602/0.510 ms
14/07/01-11:17:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.329/161.849/162.602/0.614 ms
14/07/01-11:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.292/161.346/161.398/0.041 ms
14/07/01-11:20:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.261/161.299/161.334/0.255 ms
14/07/01-11:22:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.297/161.338/161.381/0.255 ms
14/07/01-11:23:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.321/161.354/161.381/0.359 ms
14/07/01-11:25:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.237/161.309/161.349/0.442 ms
14/07/01-11:27:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.246/161.311/161.365/0.442 ms
14/07/01-11:28:58 - 5 packets transmitted, 4 received, 20% packet loss, time 4002ms rtt min/avg/max/mdev = 162.554/162.593/162.651/0.495 ms
14/07/01-11:30:40 - 5 packets transmitted, 3 received, 40% packet loss, time 4011ms rtt min/avg/max/mdev = 162.524/162.573/162.615/0.037 ms
14/07/01-11:32:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 162.565/162.583/162.614/0.255 ms
14/07/01-11:34:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.285/161.326/161.378/0.256 ms
14/07/01-11:35:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 162.548/162.595/162.670/0.443 ms
14/07/01-11:37:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.320/162.308/162.563/0.555 ms
14/07/01-11:39:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.258/161.811/162.592/0.774 ms
14/07/01-11:40:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.296/161.345/161.364/0.360 ms
14/07/01-11:42:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.290/161.331/161.359/0.359 ms
