14/07/01-09:57:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.781/106.823/106.888/0.045 ms
14/07/01-09:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.747/106.769/106.798/0.207 ms
14/07/01-10:01:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.743/106.762/106.777/0.207 ms
14/07/01-10:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 106.745/106.787/106.837/0.359 ms
14/07/01-10:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 106.772/106.810/106.830/0.358 ms
14/07/01-10:06:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.725/106.777/106.856/0.296 ms
14/07/01-10:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 106.768/106.813/106.865/0.414 ms
14/07/01-10:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.730/107.062/108.182/0.665 ms
14/07/01-10:10:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.757/106.787/106.826/0.358 ms
14/07/01-10:12:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.778/106.826/106.946/0.215 ms
14/07/01-10:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.799/106.810/106.838/0.014 ms
14/07/01-10:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 106.787/106.821/106.883/0.359 ms
14/07/01-10:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.738/106.795/106.863/0.041 ms
14/07/01-10:19:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.742/106.790/106.842/0.034 ms
14/07/01-10:20:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 106.802/106.816/106.846/0.016 ms
