14/07/01-09:56:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.783/43.823/43.893/0.232 ms
14/07/01-09:58:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.781/43.799/43.825/0.187 ms
14/07/01-09:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.796/43.821/43.851/0.018 ms
14/07/01-10:01:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.813/43.823/43.848/0.229 ms
14/07/01-10:03:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.770/43.803/43.821/0.265 ms
14/07/01-10:04:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.751/43.796/43.831/0.230 ms
14/07/01-10:06:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.797/43.809/43.816/0.006 ms
14/07/01-10:07:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.819/43.834/43.860/0.265 ms
14/07/01-10:09:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.801/43.834/43.868/0.231 ms
14/07/01-10:11:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.797/43.834/43.866/0.026 ms
14/07/01-10:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.780/43.811/43.843/0.188 ms
14/07/01-10:14:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.743/43.758/43.802/0.188 ms
14/07/01-10:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.791/43.816/43.886/0.035 ms
14/07/01-10:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 43.816/43.823/43.832/0.229 ms
14/07/01-10:19:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.744/43.802/43.844/0.139 ms
14/07/01-10:21:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.778/43.805/43.839/0.188 ms
14/07/01-10:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.751/43.796/43.844/0.267 ms
14/07/01-10:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.769/43.800/43.834/0.025 ms
14/07/01-10:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.798/43.823/43.860/0.133 ms
14/07/01-10:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.775/43.822/43.862/0.189 ms
14/07/01-10:29:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.781/43.805/43.820/0.187 ms
14/07/01-10:30:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.774/43.811/43.849/0.189 ms
14/07/01-10:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.797/43.811/43.821/0.264 ms
14/07/01-10:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.758/43.814/43.841/0.135 ms
14/07/01-10:35:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.756/43.820/43.912/0.235 ms
14/07/01-10:37:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 43.737/43.794/43.827/0.231 ms
