14/07/01-09:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.121/342.485/343.081/0.744 ms
14/07/01-09:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.075/342.210/342.429/0.537 ms
14/07/01-10:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.119/342.596/343.276/0.437 ms
14/07/01-10:02:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.149/342.308/342.529/0.548 ms
14/07/01-10:03:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 342.082/342.218/342.369/0.101 ms
14/07/01-10:05:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.049/342.794/343.648/1.014 ms
14/07/01-10:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.215/343.261/343.872/0.568 ms
14/07/01-10:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.379/343.086/344.452/0.760 ms
14/07/01-10:10:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 342.183/342.931/343.845/0.921 ms
14/07/01-10:12:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.451/342.848/343.483/0.639 ms
14/07/01-10:13:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.129/342.209/342.295/0.644 ms
14/07/01-10:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.083/343.073/343.767/0.714 ms
14/07/01-10:16:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.137/342.733/343.559/0.706 ms
14/07/01-10:18:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.139/342.805/344.107/0.999 ms
14/07/01-10:20:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.076/342.830/343.811/1.020 ms
14/07/01-10:21:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 342.096/342.279/342.573/0.766 ms
14/07/01-10:23:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 342.090/342.540/343.224/0.702 ms
14/07/01-10:25:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.269/342.928/344.759/1.193 ms
14/07/01-10:26:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.081/342.246/342.482/0.159 ms
14/07/01-10:28:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.137/342.772/343.950/0.889 ms
14/07/01-10:30:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.067/342.315/342.711/0.683 ms
14/07/01-10:31:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.088/342.595/343.056/0.734 ms
