14/07/01-09:59:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.108/180.331/180.480/0.554 ms
14/07/01-10:00:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.160/180.374/180.505/0.552 ms
14/07/01-10:02:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.502/180.668/180.957/0.179 ms
14/07/01-10:03:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.369/180.503/180.768/0.143 ms
14/07/01-10:05:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.182/180.411/180.530/0.480 ms
14/07/01-10:07:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.505/180.604/180.771/0.392 ms
14/07/01-10:08:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.398/180.584/180.669/0.391 ms
14/07/01-10:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.337/180.426/180.569/0.472 ms
14/07/01-10:12:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.455/180.620/181.006/0.572 ms
14/07/01-10:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.469/180.692/180.973/0.180 ms
14/07/01-10:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.393/180.590/180.851/0.494 ms
14/07/01-10:17:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.747/181.068/181.613/0.483 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.284/180.609/180.905/0.583 ms
14/07/01-10:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.192/181.526/183.102/1.356 ms
