14/07/01-09:58:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.933/363.972/365.574/1.712 ms
14/07/01-09:59:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.034/364.589/365.620/1.502 ms
14/07/01-10:01:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.005/363.989/366.988/2.049 ms
14/07/01-10:03:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.853/364.242/367.250/2.176 ms
14/07/01-10:04:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.823/363.570/365.449/1.526 ms
14/07/01-10:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.035/364.139/365.668/1.413 ms
14/07/01-10:08:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.979/364.970/366.865/1.654 ms
14/07/01-10:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.022/365.113/367.257/1.745 ms
14/07/01-10:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.876/365.698/367.251/2.160 ms
14/07/01-10:13:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.611/366.134/367.230/1.404 ms
14/07/01-10:14:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.970/364.325/367.168/2.092 ms
14/07/01-10:16:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.018/364.040/365.983/1.784 ms
14/07/01-10:18:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.013/364.774/368.045/2.720 ms
14/07/01-10:19:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.899/364.846/366.769/1.689 ms
14/07/01-10:21:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 362.029/365.550/367.552/2.085 ms
14/07/01-10:22:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.954/363.956/367.004/2.055 ms
14/07/01-10:24:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.935/363.885/365.451/1.722 ms
14/07/01-10:26:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 365.174/365.364/365.510/0.403 ms
14/07/01-10:27:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 361.881/363.575/366.896/2.103 ms
14/07/01-10:29:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.932/363.369/365.814/1.808 ms
14/07/01-10:31:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.973/363.875/367.771/2.515 ms
14/07/01-10:32:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.127/365.630/366.879/0.749 ms
14/07/01-10:34:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.802/364.637/365.544/1.530 ms
14/07/01-10:36:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.831/363.740/365.555/1.770 ms
14/07/01-10:37:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.980/364.261/366.805/1.972 ms
14/07/01-10:39:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.066/365.301/365.499/0.784 ms
14/07/01-10:41:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.888/365.184/366.825/1.871 ms
14/07/01-10:42:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.925/364.269/366.870/1.947 ms
14/07/01-10:44:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 363.674/364.848/365.379/0.599 ms
14/07/01-10:45:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.973/364.515/365.472/1.338 ms
14/07/01-10:47:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.972/364.423/367.399/2.188 ms
14/07/01-10:49:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.894/363.342/365.470/1.766 ms
14/07/01-10:50:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.979/363.386/365.125/1.246 ms
14/07/01-10:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.098/365.674/366.915/0.636 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.082/365.520/366.830/0.862 ms
14/07/01-10:55:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.520/364.633/365.451/1.008 ms
14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.836/365.370/367.179/2.055 ms
14/07/01-10:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.224/365.433/365.513/0.551 ms
14/07/01-11:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.684/365.479/366.855/1.281 ms
14/07/01-11:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.034/364.340/366.875/2.024 ms
14/07/01-11:04:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 361.950/364.482/367.015/2.233 ms
14/07/01-11:05:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 362.001/364.672/369.478/2.768 ms
14/07/01-11:07:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.686/365.116/365.800/1.074 ms
14/07/01-11:08:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.937/364.633/367.168/2.364 ms
14/07/01-11:10:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.891/362.916/366.743/1.951 ms
14/07/01-11:12:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.893/364.168/365.805/1.783 ms
14/07/01-11:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.953/364.810/367.842/2.622 ms
14/07/01-11:15:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 361.921/363.772/365.028/1.506 ms
14/07/01-11:17:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.154/365.051/366.819/1.598 ms
14/07/01-11:18:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.000/365.043/367.216/1.735 ms
14/07/01-11:20:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.864/363.233/365.594/1.840 ms
14/07/01-11:22:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.668/365.014/365.652/0.796 ms
14/07/01-11:23:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.048/364.211/365.479/1.331 ms
14/07/01-11:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 365.020/366.157/366.976/1.097 ms
14/07/01-11:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.096/364.644/366.717/1.616 ms
14/07/01-11:28:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.904/363.985/365.457/1.423 ms
