14/07/01-09:57:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.090/50.175/50.268/0.153 ms
14/07/01-09:59:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 50.115/50.576/52.253/0.863 ms
14/07/01-10:00:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.098/50.193/50.390/0.112 ms
14/07/01-10:02:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.042/50.131/50.226/0.153 ms
14/07/01-10:04:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 49.980/50.173/50.422/0.223 ms
14/07/01-10:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.103/50.321/50.699/0.363 ms
14/07/01-10:07:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.009/50.079/50.184/0.252 ms
14/07/01-10:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 50.063/50.104/50.122/0.201 ms
14/07/01-10:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.053/50.309/50.918/0.315 ms
14/07/01-10:12:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.048/50.132/50.226/0.062 ms
14/07/01-10:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 49.946/50.135/50.268/0.226 ms
14/07/01-10:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.026/50.227/50.631/0.217 ms
14/07/01-10:17:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.065/50.186/50.281/0.163 ms
14/07/01-10:19:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 50.023/50.114/50.166/0.150 ms
14/07/01-10:20:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.014/50.198/50.542/0.269 ms
14/07/01-10:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.121/50.254/50.380/0.263 ms
14/07/01-10:23:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.042/50.268/50.801/0.392 ms
14/07/01-10:25:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 50.051/50.262/50.456/0.248 ms
14/07/01-10:27:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.083/50.157/50.230/0.210 ms
14/07/01-10:28:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 50.074/50.134/50.182/0.285 ms
14/07/01-10:30:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.915/50.062/50.306/0.278 ms
14/07/01-10:32:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.056/50.161/50.278/0.256 ms
14/07/01-10:33:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 50.077/50.309/51.066/0.473 ms
14/07/01-10:35:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 49.920/50.089/50.191/0.091 ms
14/07/01-10:37:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.066/50.166/50.288/0.082 ms
14/07/01-10:38:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.985/50.022/50.084/0.148 ms
14/07/01-10:40:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 49.942/50.184/50.900/0.411 ms
14/07/01-10:41:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.991/50.138/50.341/0.208 ms
14/07/01-10:43:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.031/50.202/50.303/0.229 ms
14/07/01-10:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.014/50.144/50.226/0.075 ms
14/07/01-10:46:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.993/50.181/50.525/0.242 ms
14/07/01-10:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 49.938/50.146/50.349/0.317 ms
14/07/01-10:50:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 49.920/50.014/50.070/0.287 ms
14/07/01-10:51:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.030/50.134/50.386/0.311 ms
14/07/01-10:53:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.040/50.281/50.908/0.349 ms
14/07/01-10:55:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.122/50.163/50.203/0.202 ms
14/07/01-10:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 51.309/51.387/51.528/0.078 ms
14/07/01-10:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.258/51.381/51.464/0.160 ms
14/07/01-11:00:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.003/50.148/50.358/0.200 ms
14/07/01-11:01:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.018/50.200/50.421/0.244 ms
14/07/01-11:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 50.036/50.106/50.239/0.254 ms
14/07/01-11:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 49.975/50.171/50.381/0.311 ms
14/07/01-11:06:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.999/50.189/50.741/0.342 ms
14/07/01-11:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.140/50.213/50.288/0.206 ms
14/07/01-11:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.272/51.342/51.444/0.157 ms
14/07/01-11:11:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.044/50.134/50.233/0.213 ms
14/07/01-11:13:11 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 51.330/51.447/51.575/0.087 ms
14/07/01-11:14:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.972/51.297/51.461/0.337 ms
14/07/01-11:16:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.159/51.364/51.484/0.232 ms
14/07/01-11:18:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.017/50.087/50.154/0.149 ms
14/07/01-11:19:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.064/50.147/50.240/0.289 ms
