14/07/01-09:58:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.801/134.452/135.352/0.757 ms
14/07/01-10:00:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.531/134.166/135.345/0.777 ms
14/07/01-10:01:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.526/134.692/135.479/0.881 ms
14/07/01-10:03:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.631/134.257/135.422/0.661 ms
14/07/01-10:05:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 133.600/134.080/135.496/0.783 ms
14/07/01-10:06:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 133.718/134.152/135.524/0.688 ms
14/07/01-10:08:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.484/134.164/135.519/0.807 ms
14/07/01-10:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.495/134.369/135.868/1.017 ms
14/07/01-10:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 133.658/134.836/135.774/0.947 ms
14/07/01-10:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.632/134.148/135.351/0.614 ms
14/07/01-10:15:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.623/134.029/135.305/0.641 ms
14/07/01-10:16:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.930/135.342/136.026/0.803 ms
14/07/01-10:18:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.560/134.152/135.292/0.628 ms
14/07/01-10:20:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.697/133.836/133.958/0.102 ms
14/07/01-10:21:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 133.692/134.170/135.406/0.705 ms
14/07/01-10:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.589/133.754/133.961/0.358 ms
14/07/01-10:24:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.464/133.731/134.438/0.427 ms
14/07/01-10:26:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.647/134.840/135.697/0.874 ms
14/07/01-10:28:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 133.545/134.062/135.536/0.744 ms
14/07/01-10:29:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 133.770/135.189/135.741/0.718 ms
14/07/01-10:31:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.709/134.745/136.104/0.901 ms
14/07/01-10:33:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.628/134.112/135.385/0.802 ms
14/07/01-10:34:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.497/133.756/133.947/0.279 ms
14/07/01-10:36:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 133.504/134.250/135.440/0.777 ms
14/07/01-10:38:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.521/134.103/135.806/0.944 ms
14/07/01-10:39:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.843/134.285/135.359/0.605 ms
14/07/01-10:41:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.626/134.499/135.607/0.813 ms
14/07/01-10:43:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.637/134.182/135.666/0.748 ms
14/07/01-10:44:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.583/134.071/135.302/0.777 ms
14/07/01-10:46:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.639/134.531/135.599/0.987 ms
14/07/01-10:47:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.530/134.598/136.102/1.005 ms
14/07/01-10:49:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 133.479/134.719/135.831/1.095 ms
14/07/01-10:51:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 133.688/134.140/135.490/0.689 ms
14/07/01-10:52:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 133.674/134.211/135.435/0.698 ms
14/07/01-10:54:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 133.722/135.355/136.189/0.984 ms
14/07/01-10:56:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 134.086/134.850/136.075/0.929 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.515/133.727/134.018/0.293 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 133.761/134.065/134.316/0.203 ms
14/07/01-11:01:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 133.752/133.947/134.251/0.436 ms
14/07/01-11:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.786/134.522/135.938/0.942 ms
