14/07/01-09:57:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.863/43.929/44.036/0.196 ms
14/07/01-09:59:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 43.888/43.934/43.979/0.138 ms
14/07/01-10:01:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.875/43.949/44.017/0.045 ms
14/07/01-10:02:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.792/43.898/43.982/0.070 ms
14/07/01-10:04:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.943/44.013/44.075/0.041 ms
14/07/01-10:05:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 43.845/44.019/44.413/0.274 ms
14/07/01-10:07:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.807/44.016/44.453/0.324 ms
14/07/01-10:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.932/43.988/44.032/0.137 ms
14/07/01-10:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.872/43.974/44.038/0.057 ms
14/07/01-10:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.849/43.942/44.021/0.195 ms
14/07/01-10:14:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.883/43.942/43.989/0.037 ms
14/07/01-10:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.965/44.011/44.060/0.136 ms
14/07/01-10:17:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.850/43.920/43.996/0.235 ms
14/07/01-10:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.987/44.035/44.130/0.142 ms
14/07/01-10:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.800/43.923/43.984/0.198 ms
14/07/01-10:22:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.878/43.964/44.016/0.141 ms
14/07/01-10:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.859/44.002/44.125/0.090 ms
14/07/01-10:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.882/43.944/44.003/0.233 ms
14/07/01-10:27:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.863/43.941/44.034/0.270 ms
14/07/01-10:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.925/43.962/43.985/0.188 ms
14/07/01-10:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.852/43.915/44.036/0.273 ms
14/07/01-10:32:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.846/43.941/43.997/0.195 ms
14/07/01-10:33:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.900/43.980/44.015/0.233 ms
14/07/01-10:35:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.861/43.916/43.972/0.192 ms
14/07/01-10:37:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.903/44.025/44.345/0.248 ms
14/07/01-10:38:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.822/43.890/43.935/0.191 ms
14/07/01-10:40:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.808/43.848/43.876/0.265 ms
14/07/01-10:42:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.825/43.877/43.939/0.234 ms
14/07/01-10:43:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.864/43.925/43.998/0.270 ms
14/07/01-10:45:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.806/43.932/44.347/0.337 ms
14/07/01-10:46:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.814/43.911/43.986/0.067 ms
14/07/01-10:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.883/43.904/43.922/0.188 ms
14/07/01-10:50:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.874/43.961/44.117/0.083 ms
14/07/01-10:51:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.898/43.931/43.967/0.134 ms
14/07/01-10:53:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.842/43.920/43.954/0.268 ms
14/07/01-10:55:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.815/43.860/43.931/0.052 ms
14/07/01-10:56:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.906/43.959/44.002/0.190 ms
14/07/01-10:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.886/43.910/43.929/0.188 ms
14/07/01-11:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 43.887/44.185/45.223/0.569 ms
14/07/01-11:01:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.895/43.940/43.997/0.267 ms
14/07/01-11:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.947/43.974/44.008/0.266 ms
14/07/01-11:05:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.775/43.945/44.023/0.089 ms
14/07/01-11:06:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 43.832/43.861/43.932/0.267 ms
14/07/01-11:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.822/43.874/43.981/0.058 ms
14/07/01-11:09:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.912/43.947/44.004/0.231 ms
14/07/01-11:11:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.897/43.998/44.082/0.272 ms
