14/07/01-09:58:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.041/342.052/353.949/10.208 ms
14/07/01-09:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.139/341.992/353.763/10.056 ms
14/07/01-10:01:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.101/341.485/353.898/7.294 ms
14/07/01-10:03:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.319/346.826/354.482/9.258 ms
14/07/01-10:04:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.127/339.625/354.116/8.426 ms
14/07/01-10:06:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.315/344.149/354.107/8.761 ms
14/07/01-10:08:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.383/348.407/353.653/6.336 ms
14/07/01-10:09:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 331.067/346.540/354.050/9.392 ms
14/07/01-10:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.224/342.231/353.871/9.957 ms
14/07/01-10:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 331.246/335.819/353.862/9.050 ms
14/07/01-10:14:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 331.385/336.956/341.095/4.569 ms
14/07/01-10:16:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.151/339.443/353.383/8.129 ms
14/07/01-10:17:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.363/336.860/340.784/4.505 ms
14/07/01-10:19:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.163/342.152/353.682/10.008 ms
14/07/01-10:21:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.275/344.035/353.936/8.749 ms
14/07/01-10:22:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.073/340.121/353.703/10.981 ms
14/07/01-10:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 331.166/337.706/353.930/8.834 ms
14/07/01-10:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.661/345.948/354.148/6.423 ms
14/07/01-10:27:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 340.737/348.639/354.185/6.429 ms
14/07/01-10:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 331.005/342.023/353.772/10.120 ms
14/07/01-10:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.167/339.423/353.467/8.142 ms
14/07/01-10:32:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 340.613/348.482/353.728/6.419 ms
14/07/01-10:34:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.348/343.277/353.972/5.400 ms
14/07/01-10:35:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.043/337.643/353.522/8.803 ms
14/07/01-10:37:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.056/344.713/353.888/11.027 ms
14/07/01-10:39:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.106/339.453/353.740/8.279 ms
14/07/01-10:40:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.604/348.626/354.067/6.490 ms
14/07/01-10:42:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 331.247/343.959/353.880/8.698 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.007/343.753/353.497/8.659 ms
14/07/01-10:45:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 331.182/344.700/353.791/10.998 ms
14/07/01-10:47:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.122/342.168/353.944/10.136 ms
14/07/01-10:49:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 330.998/337.600/353.508/8.782 ms
