14/07/01-09:58:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.918/261.600/267.031/3.308 ms
14/07/01-10:00:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.957/260.809/265.926/2.612 ms
14/07/01-10:01:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.362/264.980/279.680/8.349 ms
14/07/01-10:03:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.729/265.044/280.967/8.572 ms
14/07/01-10:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 259.329/263.317/268.842/3.477 ms
14/07/01-10:06:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 258.870/266.089/279.101/7.363 ms
14/07/01-10:08:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 257.190/263.184/270.559/6.052 ms
14/07/01-10:10:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.008/260.408/265.278/2.761 ms
14/07/01-10:11:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.236/262.924/279.310/8.267 ms
14/07/01-10:13:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.171/262.899/269.199/4.618 ms
14/07/01-10:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.220/259.364/263.966/2.436 ms
14/07/01-10:16:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.332/261.414/268.670/3.788 ms
14/07/01-10:18:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 259.265/266.812/280.270/7.658 ms
14/07/01-10:19:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 257.515/262.357/268.902/4.672 ms
14/07/01-10:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.617/263.825/270.391/4.819 ms
14/07/01-10:23:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 257.127/262.661/279.221/8.330 ms
14/07/01-10:24:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.490/267.929/281.183/10.135 ms
14/07/01-10:26:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.176/260.986/267.850/4.195 ms
14/07/01-10:28:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.799/261.535/271.167/4.866 ms
14/07/01-10:29:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.183/262.758/270.690/5.224 ms
14/07/01-10:31:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.554/264.564/279.139/7.820 ms
14/07/01-10:32:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.270/263.521/279.159/7.918 ms
14/07/01-10:34:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.828/267.347/279.447/9.874 ms
14/07/01-10:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.022/261.902/268.767/4.577 ms
14/07/01-10:37:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.503/262.007/267.015/3.261 ms
14/07/01-10:39:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.189/263.421/280.988/8.822 ms
14/07/01-10:41:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 259.041/261.538/267.136/2.920 ms
14/07/01-10:42:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.412/262.530/267.430/4.121 ms
14/07/01-10:44:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 259.006/269.018/279.285/9.064 ms
14/07/01-10:46:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 260.021/267.287/279.145/6.744 ms
14/07/01-10:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.921/264.813/279.326/7.880 ms
14/07/01-10:49:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.383/261.081/267.016/3.266 ms
14/07/01-10:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 257.258/260.170/264.107/2.434 ms
14/07/01-10:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 257.019/263.266/269.068/4.634 ms
14/07/01-10:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.868/263.092/279.233/8.097 ms
14/07/01-10:55:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.645/264.785/279.206/8.264 ms
14/07/01-10:57:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 259.058/266.120/279.230/7.102 ms
14/07/01-10:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.046/263.733/270.710/5.853 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 257.699/259.585/263.444/2.126 ms
14/07/01-11:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 259.546/267.606/279.127/6.917 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.861/265.542/279.192/7.711 ms
14/07/01-11:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.990/265.467/281.091/8.206 ms
14/07/01-11:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.369/259.225/261.330/1.358 ms
14/07/01-11:09:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 259.014/261.730/269.242/3.867 ms
14/07/01-11:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.199/266.925/279.507/10.310 ms
14/07/01-11:12:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.280/262.228/270.598/4.373 ms
14/07/01-11:14:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.276/261.428/267.069/3.071 ms
14/07/01-11:15:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.236/259.375/261.712/1.498 ms
14/07/01-11:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.825/264.724/279.375/7.967 ms
14/07/01-11:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 258.802/266.578/279.190/7.528 ms
14/07/01-11:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 257.685/266.786/279.195/7.799 ms
14/07/01-11:22:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.973/263.065/270.276/4.737 ms
14/07/01-11:23:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 258.834/260.161/264.029/2.009 ms
14/07/01-11:25:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.228/270.497/279.487/10.805 ms
14/07/01-11:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.817/264.852/279.343/7.586 ms
14/07/01-11:28:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 259.340/263.869/268.758/3.971 ms
