14/07/01-09:57:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.751/90.878/90.991/0.212 ms
14/07/01-09:59:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.782/90.893/91.058/0.287 ms
14/07/01-10:01:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.757/90.879/90.971/0.202 ms
14/07/01-10:02:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.856/90.896/90.946/0.382 ms
14/07/01-10:04:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.744/90.893/90.985/0.282 ms
14/07/01-10:06:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.794/90.908/90.978/0.061 ms
14/07/01-10:07:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.820/90.935/90.999/0.203 ms
14/07/01-10:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.837/91.412/91.769/0.422 ms
14/07/01-10:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 90.874/90.973/91.098/0.339 ms
14/07/01-10:12:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.818/90.970/91.060/0.283 ms
14/07/01-10:14:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.882/91.253/92.080/0.558 ms
14/07/01-10:15:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.874/90.929/90.981/0.332 ms
14/07/01-10:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.824/90.898/90.941/0.383 ms
14/07/01-10:19:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.878/91.016/91.283/0.247 ms
14/07/01-10:20:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.916/90.955/90.991/0.271 ms
14/07/01-10:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.872/90.924/91.021/0.056 ms
14/07/01-10:24:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 90.833/90.917/90.991/0.334 ms
14/07/01-10:25:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 90.791/90.840/90.904/0.194 ms
14/07/01-10:27:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.796/90.944/91.118/0.219 ms
14/07/01-10:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.606/90.749/90.832/0.076 ms
14/07/01-10:30:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.815/90.872/90.929/0.332 ms
14/07/01-10:32:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.759/90.901/91.064/0.287 ms
14/07/01-10:34:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 90.746/90.825/90.923/0.334 ms
14/07/01-10:35:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.785/90.936/91.050/0.394 ms
14/07/01-10:37:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.934/90.972/91.007/0.270 ms
14/07/01-10:38:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.850/90.902/90.989/0.333 ms
14/07/01-10:40:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 90.793/90.894/91.011/0.209 ms
14/07/01-10:42:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.743/90.921/91.032/0.102 ms
