14/07/01-09:57:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 74.997/75.044/75.132/0.046 ms
14/07/01-09:59:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.778/74.929/75.057/0.200 ms
14/07/01-10:00:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.930/74.988/75.056/0.250 ms
14/07/01-10:02:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 75.002/75.056/75.088/0.246 ms
14/07/01-10:04:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.830/75.020/75.116/0.266 ms
14/07/01-10:05:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.966/75.036/75.132/0.305 ms
14/07/01-10:07:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.837/74.992/75.100/0.272 ms
14/07/01-10:09:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.840/75.007/75.358/0.181 ms
14/07/01-10:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.869/75.154/75.985/0.485 ms
14/07/01-10:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 74.935/75.072/75.293/0.276 ms
14/07/01-10:13:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.918/75.093/75.482/0.210 ms
14/07/01-10:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 74.995/75.089/75.199/0.253 ms
14/07/01-10:17:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.989/75.061/75.167/0.306 ms
14/07/01-10:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.851/74.908/74.992/0.351 ms
14/07/01-10:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.987/75.088/75.232/0.258 ms
14/07/01-10:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 75.002/75.071/75.159/0.056 ms
14/07/01-10:23:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.931/75.081/75.217/0.104 ms
14/07/01-10:25:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 74.847/74.904/74.947/0.347 ms
14/07/01-10:27:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.946/75.045/75.192/0.259 ms
14/07/01-10:28:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.984/75.056/75.185/0.186 ms
14/07/01-10:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 74.895/75.043/75.199/0.198 ms
14/07/01-10:32:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.823/74.955/75.105/0.360 ms
14/07/01-10:33:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 74.809/74.974/75.101/0.316 ms
14/07/01-10:35:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.848/75.074/75.359/0.171 ms
14/07/01-10:36:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.939/75.008/75.169/0.192 ms
14/07/01-10:38:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.930/75.029/75.105/0.183 ms
14/07/01-10:40:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.918/75.041/75.201/0.320 ms
14/07/01-10:41:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.877/75.059/75.196/0.326 ms
14/07/01-10:43:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.858/74.972/75.122/0.362 ms
14/07/01-10:45:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.766/74.946/75.099/0.366 ms
14/07/01-10:46:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.912/75.205/76.076/0.472 ms
14/07/01-10:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.892/74.962/75.054/0.304 ms
14/07/01-10:50:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.876/75.045/75.117/0.260 ms
14/07/01-10:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.913/74.996/75.101/0.310 ms
14/07/01-10:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.881/74.981/75.044/0.305 ms
14/07/01-10:55:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 74.862/75.036/75.151/0.099 ms
14/07/01-10:56:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 74.837/75.018/75.389/0.364 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.916/75.046/75.215/0.125 ms
