14/07/01-09:58:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 253.676/256.699/257.856/1.526 ms
14/07/01-10:00:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.944/255.598/257.456/2.153 ms
14/07/01-10:01:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.839/252.921/252.980/0.552 ms
14/07/01-10:03:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.265/257.374/257.480/0.646 ms
14/07/01-10:05:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.907/255.611/257.506/2.167 ms
14/07/01-10:06:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 252.979/254.893/258.066/2.317 ms
14/07/01-10:08:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.878/255.654/257.401/2.105 ms
14/07/01-10:09:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.861/254.823/257.517/2.193 ms
14/07/01-10:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.999/253.970/257.299/1.676 ms
14/07/01-10:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.948/254.794/257.420/2.135 ms
14/07/01-10:14:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.265/257.415/257.557/0.093 ms
14/07/01-10:16:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.786/255.650/257.448/2.248 ms
14/07/01-10:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 253.005/256.435/257.340/1.831 ms
14/07/01-10:19:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.847/255.722/257.986/2.383 ms
14/07/01-10:21:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 254.924/256.874/257.377/1.167 ms
