14/07/01-09:58:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 293.631/293.690/293.731/0.344 ms
14/07/01-10:00:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.586/293.676/293.750/0.596 ms
14/07/01-10:01:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.678/293.831/293.955/0.600 ms
14/07/01-10:03:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.730/293.810/293.971/0.492 ms
14/07/01-10:05:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.581/293.643/293.691/0.486 ms
14/07/01-10:06:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.703/293.750/293.874/0.489 ms
14/07/01-10:08:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.674/293.735/293.772/0.595 ms
14/07/01-10:10:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.707/294.251/296.135/1.114 ms
14/07/01-10:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.746/294.035/294.779/0.788 ms
14/07/01-10:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.731/293.763/293.790/0.594 ms
14/07/01-10:15:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.784/294.014/294.273/0.629 ms
14/07/01-10:16:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.718/293.971/294.777/0.718 ms
14/07/01-10:18:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.681/294.019/294.505/0.560 ms
14/07/01-10:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.681/293.768/293.845/0.598 ms
14/07/01-10:21:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 293.696/293.750/293.891/0.490 ms
14/07/01-10:23:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.697/293.774/293.848/0.688 ms
14/07/01-10:24:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.686/293.782/293.931/0.352 ms
14/07/01-10:26:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.761/293.825/293.868/0.594 ms
14/07/01-10:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.696/294.014/294.958/0.476 ms
14/07/01-10:29:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.698/293.773/293.813/0.595 ms
14/07/01-10:31:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.613/293.730/293.831/0.350 ms
14/07/01-10:33:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.748/293.774/293.822/0.028 ms
14/07/01-10:34:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.692/293.736/293.794/0.344 ms
14/07/01-10:36:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.653/293.747/293.832/0.689 ms
14/07/01-10:38:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.669/293.713/293.756/0.485 ms
14/07/01-10:39:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 293.671/293.732/293.868/0.070 ms
14/07/01-10:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.710/293.748/293.797/0.031 ms
14/07/01-10:42:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.768/293.830/293.932/0.687 ms
