14/07/01-09:58:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.304/148.480/148.652/0.438 ms
14/07/01-10:00:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.372/148.537/148.783/0.286 ms
14/07/01-10:02:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.364/148.634/148.930/0.180 ms
14/07/01-10:03:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.449/148.737/148.920/0.514 ms
14/07/01-10:05:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.471/148.618/148.818/0.504 ms
14/07/01-10:07:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 148.365/148.464/148.589/0.496 ms
14/07/01-10:08:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.491/148.631/148.764/0.355 ms
14/07/01-10:10:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 148.597/148.916/149.220/0.480 ms
14/07/01-10:12:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.409/148.548/148.666/0.433 ms
14/07/01-10:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.380/148.620/149.128/0.499 ms
14/07/01-10:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.392/148.507/148.644/0.103 ms
14/07/01-10:17:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.320/148.462/148.535/0.076 ms
14/07/01-10:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.421/148.484/148.532/0.246 ms
14/07/01-10:20:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 148.405/148.659/149.291/0.583 ms
14/07/01-10:21:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.485/148.551/148.665/0.426 ms
14/07/01-10:23:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.394/148.452/148.545/0.425 ms
14/07/01-10:25:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.354/148.474/148.609/0.263 ms
14/07/01-10:26:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.485/148.528/148.604/0.347 ms
14/07/01-10:28:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.480/148.639/148.898/0.446 ms
14/07/01-10:30:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.399/148.469/148.612/0.085 ms
14/07/01-10:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.320/148.437/148.578/0.431 ms
14/07/01-10:33:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.453/148.537/148.637/0.061 ms
14/07/01-10:35:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 148.360/148.419/148.485/0.489 ms
14/07/01-10:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.422/148.454/148.503/0.422 ms
14/07/01-10:38:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.326/148.472/148.658/0.365 ms
14/07/01-10:39:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.450/148.525/148.600/0.426 ms
14/07/01-10:41:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.360/148.479/148.704/0.123 ms
14/07/01-10:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.365/148.514/148.716/0.118 ms
14/07/01-10:44:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.336/148.430/148.521/0.351 ms
14/07/01-10:46:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.327/148.529/148.831/0.521 ms
14/07/01-10:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.392/148.569/148.658/0.092 ms
14/07/01-10:49:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.490/148.531/148.596/0.042 ms
14/07/01-10:51:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.381/148.528/148.622/0.260 ms
14/07/01-10:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.487/148.731/149.109/0.533 ms
14/07/01-10:54:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 148.560/148.611/148.680/0.040 ms
14/07/01-10:56:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.476/148.712/149.316/0.464 ms
14/07/01-10:58:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 148.471/148.563/148.711/0.357 ms
14/07/01-10:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.423/148.586/148.737/0.101 ms
14/07/01-11:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 148.521/148.582/148.628/0.247 ms
14/07/01-11:02:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.390/148.558/148.838/0.375 ms
14/07/01-11:04:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.361/148.603/148.803/0.154 ms
14/07/01-11:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.436/148.579/148.689/0.495 ms
14/07/01-11:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.400/148.492/148.589/0.350 ms
14/07/01-11:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.424/148.543/148.653/0.257 ms
14/07/01-11:11:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.435/148.515/148.619/0.256 ms
14/07/01-11:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.437/148.517/148.595/0.490 ms
14/07/01-11:14:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.421/148.517/148.628/0.352 ms
14/07/01-11:16:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.402/148.457/148.519/0.423 ms
14/07/01-11:17:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.466/148.764/149.589/0.481 ms
14/07/01-11:19:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.426/148.489/148.612/0.352 ms
14/07/01-11:21:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.464/148.598/148.734/0.497 ms
14/07/01-11:22:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.431/148.488/148.600/0.490 ms
14/07/01-11:24:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 148.463/148.575/148.678/0.075 ms
14/07/01-11:25:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.393/148.781/149.539/0.528 ms
14/07/01-11:27:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.540/148.660/148.760/0.263 ms
14/07/01-11:29:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.522/148.651/148.813/0.367 ms
14/07/01-11:30:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.372/148.488/148.583/0.254 ms
14/07/01-11:32:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.308/148.552/148.662/0.504 ms
14/07/01-11:34:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.323/148.427/148.527/0.430 ms
14/07/01-11:35:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.460/148.652/148.980/0.179 ms
14/07/01-11:37:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.376/148.516/148.744/0.367 ms
14/07/01-11:39:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.482/148.613/148.804/0.266 ms
14/07/01-11:40:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 148.563/148.599/148.662/0.246 ms
14/07/01-11:42:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.366/148.439/148.499/0.425 ms
14/07/01-11:44:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.492/148.594/148.745/0.088 ms
14/07/01-11:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.459/148.563/148.801/0.367 ms
14/07/01-11:47:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.359/148.550/148.737/0.280 ms
14/07/01-11:49:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.374/148.525/148.655/0.261 ms
14/07/01-11:50:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.358/148.586/148.867/0.294 ms
14/07/01-11:52:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.376/148.512/148.665/0.356 ms
14/07/01-11:53:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.389/148.567/148.688/0.437 ms
14/07/01-11:55:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.467/148.638/148.990/0.186 ms
14/07/01-11:57:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.480/148.628/148.746/0.433 ms
14/07/01-11:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.356/148.721/149.097/0.427 ms
14/07/01-12:00:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 148.376/148.599/148.745/0.127 ms
14/07/01-12:02:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.467/148.511/148.559/0.029 ms
14/07/01-12:04:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.556/148.655/148.788/0.083 ms
14/07/01-12:06:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 148.377/148.520/148.591/0.428 ms
14/07/01-12:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.362/148.438/148.498/0.489 ms
14/07/01-12:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 148.601/148.666/148.727/0.489 ms
14/07/01-12:11:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.385/148.625/148.883/0.394 ms
14/07/01-12:13:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.567/148.732/148.900/0.442 ms
14/07/01-12:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.383/148.592/148.906/0.179 ms
14/07/01-12:16:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.571/148.991/149.433/0.585 ms
14/07/01-12:18:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.312/148.537/148.713/0.369 ms
14/07/01-12:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.303/148.487/148.613/0.120 ms
